#{"t_start": 1685750586.2047231, "env_id": "quantumEnvExp-v0"}
r,l,t
-237.12143,499,13.553997
-237.529622,499,21.026142
-218.535283,499,30.287906
-238.407721,499,39.812873
-216.849618,499,53.598032
-233.647428,499,64.068009
-204.332886,499,72.982353
-235.207074,499,83.834032
-240.34581,499,92.107886
-239.241803,499,98.78768
-221.160825,499,111.473723
-236.354517,499,123.867238
-226.496079,499,137.133286
-190.93343,499,144.893299
-228.380687,499,155.70498
-167.181523,499,169.61669
-178.064444,499,182.073705
-179.029014,499,193.172464
-206.313688,499,207.073196
-225.235743,499,218.086933
-190.188722,499,232.980461
-153.190143,499,244.799013
-162.132051,499,253.514724
-178.682917,499,262.8227
-144.601038,499,271.777277
-204.426024,499,280.478398
-231.376937,499,289.991904
-211.637034,499,299.532813
-220.904754,499,308.585658
-225.104318,499,318.070089
-223.876085,499,329.273929
-123.668561,499,338.664405
-204.477512,499,352.634814
-216.722827,499,366.012275
-196.018043,499,379.396564
-126.51117,499,393.821238
-196.933877,499,405.331703
-142.132923,499,413.274945
-173.843886,499,421.95423
-190.512169,499,429.970604
-177.053107,499,440.478019
-223.321284,499,448.477259
-197.117509,499,456.569826
-219.534244,499,465.974495
-171.625085,499,476.076986
-210.464209,499,487.576687
-195.995243,499,499.436164
-174.47533,499,510.354684
-215.090925,499,520.45064
-189.871244,499,531.33148
-180.944708,499,544.656752
-183.708085,499,552.262017
-165.138708,499,560.116624
-186.954366,499,567.250814
-212.146875,499,574.949623
-181.566469,499,586.380015
-203.659291,499,597.570732
-173.051923,499,607.328349
-174.055606,499,617.897737
-155.353043,499,628.727805
-180.638797,499,639.195742
-144.387867,499,649.155714
-200.707977,499,658.857208
-179.586039,499,666.10982
-176.261599,499,676.389184
-193.421428,499,685.833339
-170.984002,499,694.938893
-131.638027,499,705.09971
-132.999393,499,713.807918
-183.309878,499,722.42993
-171.833119,499,735.082731
-143.181622,499,744.32073
-189.074323,499,752.302958
-169.58936,499,759.000235
-141.569025,499,765.731437
-159.452743,499,775.359397
-162.555671,499,782.009168
-168.766425,499,791.367411
-177.777282,499,799.787216
-193.936391,499,808.830813
-162.817782,499,818.719131
-174.417879,499,826.654099
-183.669635,499,833.394069
-171.631073,499,842.379033
-150.620251,499,849.634037
-181.530484,499,859.916184
-169.911378,499,868.903007
-175.151955,499,875.636795
-171.756334,499,884.09757
-183.056515,499,892.472927
-193.932085,499,902.358043
-141.798305,499,912.417501
-175.336089,499,921.79408
-183.033134,499,930.844844
-150.508517,499,942.745926
-165.621517,499,954.12971
-152.955102,499,963.924485
-167.889468,499,975.366244
-163.533724,499,982.357388
-171.681492,499,991.002479
-119.268895,499,1002.981608
-158.305405,499,1015.840605
-182.374893,499,1024.714061
-179.861912,499,1032.540251
-129.666907,499,1041.911301
-178.680212,499,1051.869354
-179.963351,499,1060.380773
-191.664967,499,1075.253777
-168.678497,499,1084.368006
-137.716649,499,1093.785676
-163.497177,499,1101.63937
-174.162858,499,1108.312299
-135.972095,499,1117.439105
-142.697027,499,1126.467905
-165.209389,499,1134.158303
-164.736229,499,1143.844213
-177.312288,499,1153.249213
-164.344597,499,1161.274316
-180.740215,499,1170.020242
-167.895863,499,1179.307055
-157.255718,499,1187.352531
-156.544596,499,1194.369436
-162.214762,499,1203.918634
-158.068136,499,1213.781489
-141.561167,499,1222.934111
-178.94597,499,1231.459513
-164.360648,499,1239.142672
-170.589023,499,1246.372289
-155.702488,499,1253.044533
-140.317498,499,1259.714694
-119.568789,499,1269.702235
-149.037121,499,1279.122854
-162.92546,499,1288.463437
-148.623581,499,1298.950084
-165.657427,499,1308.46774
-183.121222,499,1318.286114
-140.01403,499,1328.193895
-172.859463,499,1338.057993
-148.026158,499,1347.739927
-177.645714,499,1357.095088
-154.139733,499,1368.105888
-171.772708,499,1377.424151
-145.379391,499,1387.493905
-166.828874,499,1397.029558
-182.258563,499,1410.240484
-165.583226,499,1418.919913
-169.804304,499,1428.260824
-151.605466,499,1437.009019
-179.816292,499,1444.287846
-158.128785,499,1452.462305
-155.873865,499,1464.639477
-142.349561,499,1475.903398
-175.670824,499,1486.228641
-148.728568,499,1496.307268
-159.637914,499,1505.471543
-165.050681,499,1516.710584
-117.326422,499,1523.540811
-137.413488,499,1530.825298
-154.639922,499,1538.499446
-152.447883,499,1545.523565
-154.837996,499,1555.516359
-168.733611,499,1565.681238
-127.693584,499,1575.211112
-146.765052,499,1585.21566
-161.714029,499,1595.676146
