#{"t_start": 1685747403.8083198, "env_id": "quantumEnvExp-v0"}
r,l,t
-157.136736,499,8.012784
-239.601543,499,14.941167
-248.291525,499,23.755324
-245.476883,499,32.666833
-247.877007,499,41.151594
-246.413977,499,50.168522
-245.994467,499,58.234319
-246.647828,499,66.271059
-247.353843,499,72.423858
-247.305059,499,78.424587
-247.492991,499,87.25836
-231.235256,499,95.812702
-248.447988,499,104.146106
-246.52282,499,111.830297
-185.267425,499,119.756026
-248.007053,499,145.397681
-245.183319,499,152.275221
-233.421791,499,158.267271
-246.286313,499,164.295646
-245.773254,499,170.287101
-244.923912,499,178.282805
-248.736609,499,185.922498
-221.170489,499,193.771119
-247.701713,499,199.967633
-247.850845,499,205.945516
-246.739691,499,213.257276
-243.443339,499,219.262641
-210.857308,499,225.258054
-246.91634,499,231.299017
-238.122701,499,237.282275
-240.318802,499,245.22577
-216.660418,499,251.212099
-171.49938,499,257.209591
-246.320976,499,263.700878
-237.007252,499,269.849101
-235.299595,499,276.624218
-202.870783,499,282.891253
-181.032108,499,289.098262
-207.926504,499,295.075933
-162.604058,499,301.098378
-168.162911,499,307.939995
-214.185,499,313.963886
-174.646191,499,320.150525
-188.039932,499,326.357215
-194.971113,499,332.912859
-183.164378,499,340.201949
-182.102448,499,346.247097
-215.272268,499,352.566818
-185.769853,499,358.62396
-216.464894,499,365.664886
-173.123727,499,375.626959
-150.587895,499,385.859511
-215.260558,499,394.234085
-200.188741,499,402.022713
-210.048167,499,410.970849
-182.060491,499,419.997301
-207.750194,499,427.697286
-159.933074,499,436.075257
-157.168824,499,444.670065
-112.676129,499,453.187639
-173.489991,499,476.608726
-156.587326,499,485.411747
-185.886047,499,493.541667
-212.767589,499,502.331862
-123.470625,499,511.153749
-119.027143,499,536.765675
-180.58808,499,545.594523
-161.901673,499,554.426888
-159.713617,499,560.969934
-179.672774,499,569.72357
-146.518779,499,582.797286
-173.389403,499,591.479914
-124.888714,499,600.512812
-164.520999,499,607.335343
-150.230916,499,616.05562
-143.371565,499,640.343104
-118.351604,499,648.63708
-127.989566,499,656.91968
-113.503719,499,665.218774
-99.507788,499,673.527158
-89.851992,499,697.216186
-145.420297,499,703.468676
-152.303074,499,710.809457
-143.465452,499,717.551338
-105.322005,499,726.237196
-131.340256,499,749.092045
-99.421398,499,757.028677
-74.376637,499,765.896974
-142.490871,499,773.67531
-131.046214,499,781.388897
-101.087432,499,789.247874
-116.33491,499,796.141822
-122.054159,499,802.651848
-102.198642,499,808.842046
-100.40151,499,815.087256
-84.828975,499,823.862238
-91.093922,499,830.084313
-70.314463,499,836.331677
-111.294863,499,843.208853
-118.560545,499,849.323061
-93.061317,499,858.5316
-86.518876,499,865.001009
-78.153706,499,871.206267
-84.444011,499,877.317662
-69.409836,499,884.348039
-72.451121,499,892.001291
-98.057805,499,899.502806
-88.742285,499,905.586424
-82.852706,499,911.699413
-80.981982,499,918.377174
-84.137905,499,925.497607
-78.570078,499,931.809494
-75.758405,499,939.109191
-73.609629,499,945.345331
-78.24037,499,951.550706
-80.245194,499,958.756596
-68.797491,499,965.900588
-69.429105,499,972.502537
-94.926677,499,978.68945
-79.88005,499,984.955401
-79.071306,499,992.251561
-85.243464,499,998.364984
-72.604217,499,1004.462893
-89.896289,499,1010.630147
-84.59389,499,1017.570932
-74.606904,499,1025.150982
-66.284851,499,1031.579385
-89.27648,499,1037.671597
-71.307555,499,1043.753329
-64.426597,499,1049.916336
-84.091241,499,1057.080176
-68.544058,499,1063.173523
-75.352223,499,1069.268111
-71.918132,499,1075.363807
-54.908084,499,1081.746675
-95.56314,499,1089.401485
-58.748029,499,1095.589297
-75.552853,499,1101.760156
-71.377165,499,1107.879709
-75.154691,499,1113.980082
-76.743697,499,1121.050666
-72.414451,499,1127.416294
-50.704551,499,1133.550815
-71.961693,499,1140.355151
-83.787571,499,1146.586233
-63.199297,499,1156.112106
-58.008931,499,1162.240774
-70.658195,499,1168.42341
-68.716803,499,1175.821119
-65.108825,499,1181.961427
-65.499985,499,1190.991932
-73.302924,499,1198.500816
-64.488468,499,1204.993034
-59.801383,499,1211.21376
-59.07006,499,1217.477778
-78.478625,499,1224.621278
-57.378985,499,1231.063211
-67.093222,499,1238.087692
-72.830008,499,1244.294913
-72.489827,499,1250.602802
-68.22826,499,1259.193387
-66.070007,499,1265.32896
-60.308912,499,1271.519032
-54.565073,499,1277.918577
-70.470701,499,1284.34318
-53.408321,499,1291.729806
-69.965284,499,1297.92653
-61.749381,499,1304.098869
-65.17872,499,1310.239786
-72.986843,499,1316.756183
-62.662052,499,1323.875144
-71.395641,499,1329.993871
-64.840651,499,1336.142832
-68.690469,499,1342.426101
-61.884548,499,1349.707184
-62.26589,499,1370.885809
-67.967089,499,1379.219401
-69.61581,499,1385.714695
-60.599825,499,1392.711946
-68.917668,499,1399.310211
-65.951691,499,1423.145724
-76.66914,499,1430.395425
-65.243212,499,1437.745645
-63.343604,499,1444.656231
-72.153188,499,1451.518728
-63.169874,499,1458.766955
-60.723941,499,1465.968784
-66.035699,499,1472.775637
-68.207447,499,1479.487566
-68.948644,499,1486.368214
-66.167821,499,1494.073484
-65.068423,499,1500.600477
-55.094333,499,1507.420818
-65.011425,499,1514.151173
-57.186345,499,1521.762819
-62.943341,499,1529.542629
-79.999023,499,1537.835144
-64.130122,499,1545.344614
-60.371966,499,1552.137618
-58.150917,499,1559.102812
-55.903008,499,1584.660456
-59.592106,499,1591.508888
-64.112867,499,1598.061239
-69.844861,499,1604.86029
-59.349902,499,1613.504393
-66.594688,499,1621.895784
-58.490921,499,1628.579016
-64.227748,499,1635.286385
-54.941027,499,1641.771137
-57.804671,499,1648.294767
-56.68129,499,1656.080383
-55.882591,499,1662.735319
-53.059359,499,1669.360735
-65.5972,499,1676.00799
-60.889256,499,1682.587211
-52.943698,499,1690.530632
-60.087636,499,1697.758791
-52.622137,499,1704.259981
-66.555421,499,1710.818264
-65.133309,499,1717.774632
-60.142627,499,1725.515527
-58.125607,499,1732.707839
-57.984803,499,1739.483536
-55.240467,499,1746.387562
-55.771583,499,1752.894649
-55.454851,499,1760.515219
-52.383422,499,1767.237372
-53.831369,499,1774.013275
-60.122395,499,1780.625358
-55.666638,499,1787.5499
-61.618312,499,1795.211468
-57.373036,499,1801.866946
-52.746606,499,1808.371348
-52.351606,499,1815.220072
-47.302856,499,1822.668647
-47.87049,499,1843.613424
-47.585234,499,1850.273028
-47.60882,499,1857.023891
-56.10808,499,1863.477139
-54.531934,499,1869.917386
-59.867519,499,1877.676666
-49.588384,499,1884.370449
-52.142172,499,1891.305407
-60.78917,499,1897.937225
-51.449973,499,1904.573166
-49.472057,499,1927.534632
-54.797829,499,1934.458994
-55.175844,499,1941.822293
-48.903734,499,1948.717941
-51.148919,499,1955.335378
-53.440873,499,1965.068908
-52.055681,499,1972.666299
-54.652512,499,1979.831986
-47.104746,499,1986.55808
-59.597021,499,1993.087224
-47.868222,499,2000.866815
-46.889024,499,2007.890959
-53.291946,499,2014.480834
-59.144438,499,2021.270712
-49.104927,499,2028.298479
-48.157615,499,2036.30018
-46.280542,499,2042.991518
-48.791497,499,2049.618841
-50.203786,499,2056.430947
-47.04525,499,2063.339957
-54.249362,499,2071.085944
-48.465038,499,2078.014785
-53.571316,499,2084.95092
-48.617354,499,2091.486795
-48.247734,499,2098.043552
-59.326028,499,2105.90641
-49.595085,499,2112.47235
-42.755022,499,2118.970028
-45.727329,499,2125.520167
-53.753208,499,2132.401767
-47.913104,499,2140.761602
-48.598323,499,2147.253408
-48.487619,499,2153.906709
-47.400266,499,2160.380207
-50.285213,499,2167.470936
-51.247251,499,2175.236936
-49.219349,499,2182.519903
-45.989033,499,2189.314495
-50.690986,499,2195.79159
-41.709707,499,2202.880128
-49.068204,499,2214.428164
-45.075841,499,2221.315868
-49.098276,499,2228.180061
-49.2221,499,2234.884264
-43.322428,499,2241.385117
-53.880414,499,2249.257187
-46.490168,499,2256.659461
-45.770436,499,2263.59123
-48.049486,499,2270.088892
-46.510142,499,2276.979467
-49.181048,499,2285.439254
-47.764918,499,2292.071189
-43.761413,499,2298.698962
-47.939311,499,2305.214053
-45.694153,499,2311.741184
-51.775681,499,2322.113603
-52.65198,499,2328.934346
-49.231938,499,2335.474756
-48.360192,499,2342.17377
-46.90496,499,2349.976209
-46.33324,499,2357.736103
-50.700121,499,2364.287269
-44.877451,499,2371.094848
-55.149643,499,2377.998626
-48.218186,499,2386.763749
-46.660714,499,2395.502539
-46.499671,499,2402.250163
-46.165749,499,2409.246547
-44.762769,499,2416.337108
-49.487336,499,2424.365075
-47.932701,499,2432.542961
-50.178122,499,2439.493593
-44.807068,499,2446.318609
-42.05454,499,2453.480458
-44.835248,499,2460.707726
-46.89024,499,2468.986769
-46.263004,499,2475.571303
-46.784796,499,2484.491796
-48.375056,499,2493.218119
-48.017718,499,2500.223045
-46.443114,499,2509.775384
-41.96157,499,2516.396719
-51.057789,499,2523.093619
-49.587814,499,2530.443788
-44.438594,499,2539.364614
-49.300397,499,2547.039035
-46.420215,499,2555.190475
-46.227814,499,2561.793983
-46.814749,499,2568.413551
-40.605137,499,2575.555115
-41.948466,499,2585.358442
-43.460797,499,2591.86503
-55.248585,499,2598.396
-51.1794,499,2605.531305
-43.858195,499,2615.367633
-46.010001,499,2624.378672
-45.315148,499,2630.909555
-44.851495,499,2637.526738
-40.160625,499,2644.060546
-41.83702,499,2652.538907
-46.145555,499,2663.143775
-44.315335,499,2672.204824
-42.839708,499,2681.469943
-41.884256,499,2690.640531
-44.389156,499,2699.229723
-43.681218,499,2726.715531
-46.618974,499,2734.066021
-44.236608,499,2741.997937
-41.006646,499,2749.94047
-43.704047,499,2756.687813
-39.255079,499,2764.614629
-38.93134,499,2771.612785
-49.455371,499,2778.676191
-44.147728,499,2785.531848
-47.83972,499,2792.298261
-45.123076,499,2800.55377
-42.399243,499,2807.123003
-46.348283,499,2814.175749
-45.611651,499,2820.922796
-45.098388,499,2827.454843
-47.272243,499,2835.099401
-42.924548,499,2843.761934
-42.355819,499,2850.317296
-43.733487,499,2857.361904
-42.895406,499,2863.993698
-44.375938,499,2872.014858
-47.950419,499,2878.640068
-43.936615,499,2885.166129
-44.612064,499,2891.793459
-52.147065,499,2898.421242
-38.511047,499,2905.985309
-49.807404,499,2912.505597
-47.085639,499,2919.613847
-43.533237,499,2927.004222
-44.985843,499,2934.064217
-40.132131,499,2941.757178
-43.381536,499,2949.7381
-46.356654,499,2957.07381
-45.626717,499,2964.760346
-42.649246,499,2971.506987
-41.46563,499,2979.504339
-45.226517,499,2986.280637
-47.430394,499,2992.950473
-39.874873,499,2999.621576
-49.347251,499,3006.231321
