#{"t_start": 1686071642.743532, "env_id": "quantumEnvExp-v0"}
r,l,t
-208.666452,499,20.875211
-221.300342,499,51.483186
-238.077606,499,82.14279
-234.865928,499,107.072179
-188.595781,499,135.224136
-159.892472,499,153.525996
-196.641539,499,171.601869
-167.157644,499,188.027492
-233.847442,499,209.645572
-233.973507,499,231.327757
-232.564374,499,251.432746
-241.33655,499,267.00148
-212.870684,499,282.485456
-221.376852,499,298.088751
-222.812317,499,320.185083
-161.147615,499,343.820996
-139.102696,499,368.321
-126.573478,499,389.098645
-155.846145,499,413.414981
-119.490843,499,434.630277
-157.296402,499,453.877607
-144.319015,499,469.474572
-150.943972,499,487.349966
-105.951403,499,510.586108
-117.051425,499,530.697795
-185.41276,499,548.29452
-201.686943,499,563.813402
-154.46752,499,579.404329
-134.387714,499,598.253903
-162.766315,499,616.69304
-180.806287,499,641.792824
-183.330292,499,654.944713
-109.9777,499,666.174934
-158.348486,499,673.221828
-162.129021,499,681.617969
-170.439911,499,692.266764
-147.93574,499,700.239425
-175.490652,499,710.164746
-171.294747,499,720.042492
-147.519745,499,729.41869
-113.011907,499,739.257681
-83.451806,499,745.894054
-129.345073,499,752.605093
-76.935675,499,759.290041
-153.3793,499,766.629749
-77.202884,499,779.929737
-82.917514,499,789.350168
-117.912616,499,800.623328
-75.06916,499,811.151171
-58.78644,499,822.057863
-47.729375,499,835.201441
-48.06865,499,842.91388
-61.843183,499,850.242074
-88.498226,499,858.620625
-52.936323,499,867.36207
-58.763314,499,877.632748
-55.973822,499,889.618066
-51.877592,499,898.733115
-48.840493,499,907.925445
-55.069663,499,918.214789
-46.521153,499,930.820555
-35.557039,499,941.377196
-36.817526,499,951.817649
-46.99777,499,958.734318
-43.332328,499,969.346305
-45.154019,499,979.866949
-43.759999,499,988.351443
-34.288154,499,998.865804
-36.946783,499,1005.733122
-38.714652,499,1013.962949
-41.008617,499,1026.126544
-36.000028,499,1035.965872
-34.790081,499,1045.69647
-32.448822,499,1054.217825
-32.731736,499,1063.497731
-32.160761,499,1074.48422
-28.491196,499,1083.332092
-32.127012,499,1090.910745
-33.958087,499,1099.866266
-25.42953,499,1107.849802
-31.895102,499,1115.776948
-30.411609,499,1122.509813
-26.918895,499,1129.258711
-30.78359,499,1136.018232
-28.555753,499,1142.806707
-30.785905,499,1150.780725
-25.619797,499,1157.558774
-26.459927,499,1165.930363
-24.879936,499,1175.283437
-24.292599,499,1183.833352
-27.732642,499,1195.809959
-26.325323,499,1206.821296
-30.314263,499,1216.971694
-22.921745,499,1226.953304
-27.321599,499,1236.761671
-22.409861,499,1245.36734
-23.420155,499,1254.189966
-23.062414,499,1262.810674
-22.128095,499,1270.960934
-24.570611,499,1280.388512
-24.64763,499,1292.142265
-25.627409,499,1303.885006
-24.417668,499,1310.614567
-24.189576,499,1317.371696
-25.841093,499,1324.10217
-23.318366,499,1332.309721
-26.857944,499,1344.338297
-24.148609,499,1352.708098
-23.40965,499,1362.104251
-23.889023,499,1373.130901
-24.815883,499,1390.332523
-24.268462,499,1399.007088
-23.597049,499,1408.881239
-22.834874,499,1418.511868
-22.791048,499,1429.86157
-23.906244,499,1444.096258
-22.821804,499,1453.079957
-22.690485,499,1462.234325
-22.513755,499,1470.823086
-23.840706,499,1478.979805
-22.584619,499,1490.846518
-22.217565,499,1499.53046
-22.792828,499,1507.421694
-24.397206,499,1515.559204
-20.527012,499,1523.403123
-20.876093,499,1533.835578
-20.268668,499,1542.7769
-21.195083,499,1550.771585
-20.910768,499,1559.9906
-21.434839,499,1568.778968
-19.045165,499,1577.156044
-19.452359,499,1586.687433
-20.906749,499,1593.431503
-20.880413,499,1600.183311
-20.00815,499,1606.952747
-19.134638,499,1615.056448
-18.586789,499,1624.250256
-20.304664,499,1633.682394
-18.87013,499,1642.288728
-19.511457,499,1654.056956
-19.841187,499,1666.407491
-18.970705,499,1674.168674
-18.80818,499,1680.920892
-19.820916,499,1687.677993
-19.301329,499,1694.432775
-20.278327,499,1702.305929
-18.69718,499,1709.041192
-20.403992,499,1715.764341
-20.178237,499,1722.540878
-18.637239,499,1730.569916
-20.632586,499,1745.962043
-17.655585,499,1778.013831
-18.582319,499,1788.429588
-17.952232,499,1800.327746
-19.404969,499,1811.357572
-17.844992,499,1825.017705
-17.740916,499,1834.53272
-18.745781,499,1846.14943
-19.122635,499,1853.474584
-19.001101,499,1861.166914
-18.791407,499,1871.722573
-19.487804,499,1878.466511
-18.660529,499,1885.26567
-18.646714,499,1892.028426
-18.043543,499,1899.452054
-19.029821,499,1912.441887
-18.727057,499,1921.289375
-19.022559,499,1930.69936
-18.749392,499,1938.688232
-19.187142,499,1947.921999
-17.345419,499,1960.079608
-18.459964,499,1969.867679
-19.405409,499,1979.595805
-17.038279,499,1989.408053
-18.219674,499,1999.116363
-18.81744,499,2009.597111
-17.391382,499,2018.239862
-17.769289,499,2026.398035
-17.076299,499,2035.501168
-18.214463,499,2043.536509
-17.620299,499,2055.470809
-16.592399,499,2064.279482
-18.425281,499,2072.456584
-17.683163,499,2080.40211
-17.672904,499,2088.510706
-17.100408,499,2099.149562
-16.566477,499,2107.40141
-16.518183,499,2115.07634
-16.863166,499,2124.791146
-18.917986,499,2133.352629
-17.992357,499,2141.457573
-18.278908,499,2150.67918
-17.904079,499,2158.065259
-17.518932,499,2165.168826
-16.393043,499,2172.245104
-16.467357,499,2180.775299
-16.952422,499,2189.395216
-16.850463,499,2198.392359
-16.362023,499,2206.554504
-16.814216,499,2215.678361
-15.970882,499,2230.624378
-17.121381,499,2240.212012
-16.089989,499,2247.008487
-17.717118,499,2253.75666
-16.677534,499,2260.496587
-16.638464,499,2268.454732
-16.050061,499,2275.830139
-16.056142,499,2285.582168
-15.373387,499,2295.5608
-17.669535,499,2304.201811
-16.914248,499,2316.875288
-16.987095,499,2326.023426
-16.905011,499,2336.02236
-16.984658,499,2359.878599
-16.230749,499,2371.063982
-17.152897,499,2383.326866
-16.935642,499,2394.541924
-16.920862,499,2402.798307
-16.487458,499,2413.758021
-16.610682,499,2421.04604
-16.691916,499,2431.464446
-16.753007,499,2439.102197
-16.751632,499,2445.894345
-16.866507,499,2452.719702
-16.933871,499,2459.491325
-16.718912,499,2470.167849
-18.904732,499,2478.548573
-15.610115,499,2487.047754
-17.729394,499,2496.204581
-15.648726,499,2503.640931
-16.402959,499,2515.274951
-16.285013,499,2523.168143
-15.746371,499,2529.942264
-16.463226,499,2536.697009
-16.266188,499,2543.471305
-16.070996,499,2551.295917
-15.975251,499,2558.060013
-15.189282,499,2564.787171
-16.774608,499,2571.586349
-16.261346,499,2580.068563
-14.824064,499,2591.754032
-16.910511,499,2600.760494
-17.203015,499,2611.174642
-16.212342,499,2621.841438
-15.574768,499,2630.080648
-15.713296,499,2642.921023
-14.981397,499,2652.06648
-16.618911,499,2661.673037
-15.998869,499,2673.809314
-16.082076,499,2682.068258
-15.81934,499,2698.680462
-16.26703,499,2709.783779
-15.550629,499,2718.687365
-16.125633,499,2725.491066
-15.722779,499,2732.25658
-15.600324,499,2740.255295
-15.53374,499,2748.042549
-15.560253,499,2757.808485
-17.210827,499,2766.909355
-15.068313,499,2775.805206
-15.44656,499,2786.796912
-16.327269,499,2795.997519
-16.61581,499,2804.972802
-15.565632,499,2811.697887
-15.411772,499,2818.443815
-16.345196,499,2827.757596
-15.471567,499,2837.678981
-15.765626,499,2847.588356
-15.536683,499,2857.484311
-16.15597,499,2869.620995
-15.559619,499,2883.281729
-15.943739,499,2892.486081
-16.030672,499,2904.086137
-15.867442,499,2914.262723
-15.937171,499,2923.862671
-15.897325,499,2934.999895
-16.0384,499,2942.916369
-15.875834,499,2951.766296
-15.377288,499,2959.729783
-15.713172,499,2967.328543
-16.761594,499,2979.390415
-15.208028,499,2986.231259
-15.918027,499,2994.384027
-14.89488,499,3003.428998
-15.127669,499,3010.214327
-15.571732,499,3018.250049
-15.165215,499,3025.073668
-16.85173,499,3033.005569
-15.342744,499,3042.119339
-15.103804,499,3050.978211
-16.054063,499,3062.055668
-14.986834,499,3069.782794
-15.243199,499,3079.413736
-15.303121,499,3087.79514
-14.867336,499,3094.596753
-15.231654,499,3102.58738
-14.838027,499,3109.365499
-14.850303,499,3116.103718
-15.956104,499,3122.918308
-15.848196,499,3129.72127
-14.201124,499,3139.516438
-16.706938,499,3149.329928
-14.987517,499,3158.137418
-15.817184,499,3168.257575
-15.447187,499,3178.291318
-15.309203,499,3191.591115
-14.887716,499,3202.669056
-14.852238,499,3211.907977
-15.818829,499,3221.780004
-15.857586,499,3231.658395
-15.952945,499,3243.976041
-15.697604,499,3251.967611
-15.470308,499,3267.948418
-14.905524,499,3289.012855
-14.552203,499,3304.789495
-14.325037,499,3330.063628
-15.80361,499,3357.63534
