#{"t_start": 1685035432.4740572, "env_id": "quantumEnvExp-v0"}
r,l,t
-243.67562,499,27.152902
-239.772231,499,55.688056
-225.329833,499,84.382894
-245.572803,499,114.016971
-241.028568,499,143.933873
-234.683388,499,270.161829
-243.825404,499,300.906585
-247.067695,499,330.872517
-236.002223,499,360.619641
-244.628812,499,389.893091
-223.811679,499,512.33125
-240.566561,499,542.585303
-241.064177,499,574.100892
-246.108904,499,605.329149
-244.735307,499,635.221628
-216.038471,499,761.735412
-238.049957,499,788.858396
-232.184672,499,816.476914
-235.050382,499,845.538036
-224.926157,499,873.658114
-242.749985,499,1001.863889
-242.834038,499,1032.448631
-229.591112,499,1063.112466
-246.135429,499,1094.804939
-242.519285,499,1125.7834
-232.158236,499,1250.548957
-212.922638,499,1278.245096
-203.696339,499,1302.91002
-212.860788,499,1327.470462
-208.002575,499,1351.868513
-230.639511,499,1459.625146
-227.945902,499,1484.203052
-223.267287,499,1510.823474
-220.422589,499,1537.923452
-221.888036,499,1564.172659
-222.451085,499,1662.560389
-215.105286,499,1686.718871
-186.069436,499,1710.136265
-197.474676,499,1732.050399
-171.632224,499,1755.755142
-207.305795,499,1833.177019
-207.84569,499,1851.316136
-179.475115,499,1870.027183
-221.907426,499,1888.379318
-221.478925,499,1906.794055
-204.058523,499,1980.628023
-215.704852,499,1998.953465
-234.514933,499,2017.842885
-170.386822,499,2038.15149
-217.887173,499,2060.751982
-204.967408,499,2143.724861
-223.132378,499,2162.751586
-202.250545,499,2182.410573
-187.37461,499,2201.718477
-233.302102,499,2222.211563
-178.606163,499,2300.595065
-238.302249,499,2320.186386
-235.805888,499,2338.860225
-206.152176,499,2357.665448
-206.839051,499,2377.392842
-184.838336,499,2493.374235
-204.561716,499,2525.032101
-199.012179,499,2559.292811
-154.662316,499,2597.419799
-180.323531,499,2639.492028
-218.246717,499,2845.386202
-184.748531,499,2892.908346
-174.53633,499,2940.152791
-217.313765,499,2987.152705
-176.226786,499,3034.708034
-211.250869,499,3259.418188
-221.769847,499,3307.140927
-210.170128,499,3354.610358
-223.745192,499,3403.281903
-162.953818,499,3453.974008
-199.402591,499,3666.96662
-192.131851,499,3715.764582
-191.554585,499,3766.103514
-199.91842,499,3819.006054
-208.989403,499,3871.279019
-198.746996,499,4087.941494
-162.526221,499,4133.831774
-156.170779,499,4180.692211
-222.986226,499,4229.951665
-224.888239,499,4279.710594
-193.922977,499,4504.512095
-187.451992,499,4552.348732
-209.793754,499,4599.196881
-223.213281,499,4648.000857
-214.066687,499,4696.442297
-196.594565,499,4905.991446
-184.362354,499,4955.595479
-136.817511,499,5007.100675
-181.78367,499,5059.473781
-200.373601,499,5110.908962
-186.981705,499,5327.773998
-215.158016,499,5373.034684
-173.274029,499,5418.806702
-198.432912,499,5467.727728
-170.002507,499,5517.275492
-187.698841,499,5746.580055
-181.653654,499,5796.8227
-195.622933,499,5843.848213
-193.56213,499,5891.332368
-185.92263,499,5938.138484
-188.345289,499,6153.209187
-154.841468,499,6201.64724
-162.408613,499,6250.571082
-148.583516,499,6302.944803
-188.981055,499,6354.372694
-173.580183,499,6571.445474
-174.858501,499,6616.581124
-159.715746,499,6663.684494
-174.993766,499,6711.456345
-189.52826,499,6761.259785
-169.256768,499,6991.288282
-163.60705,499,7037.509971
-192.799519,499,7083.172804
-186.838975,499,7128.845512
-217.119593,499,7175.659834
-144.363225,499,7396.914558
-159.406529,499,7447.716678
-189.296046,499,7499.748818
-172.240648,499,7552.590132
-176.965332,499,7604.344544
-161.747471,499,7815.859348
-164.700485,499,7862.347038
-136.24532,499,7909.487122
-194.297902,499,7958.692442
-174.048553,499,8010.351484
-184.168861,499,8238.344254
-171.498371,499,8284.379282
-159.262235,499,8329.262641
-169.19767,499,8375.532521
-156.370131,499,8423.585957
-173.773295,499,8642.894667
-176.907506,499,8692.097734
-161.809652,499,8744.226274
-182.515694,499,8795.704356
-150.269952,499,8845.892119
-171.584423,499,9058.149101
-164.655739,499,9104.779583
-150.146433,499,9151.249442
-164.280912,499,9198.628622
-161.409962,499,9249.255274
-174.917458,499,9476.968871
-184.398167,499,9522.188756
-174.42763,499,9567.59577
-169.596972,499,9614.637519
-176.809342,499,9663.55514
-158.728873,499,9878.336062
-169.92983,499,9928.463622
-174.29795,499,9978.320252
-194.945904,499,10025.9767
-150.308593,499,10074.082034
-178.641653,499,10287.904064
-195.862535,499,10332.731341
-155.564335,499,10376.44702
-168.428621,499,10423.593704
-181.81974,499,10473.084172
-160.755662,499,10699.781553
-164.290421,499,10743.330482
-177.775563,499,10786.170552
-168.922327,499,10830.89939
-165.183599,499,10877.285564
-167.263306,499,11096.968337
-178.237518,499,11147.123183
-162.682228,499,11196.158141
-160.605641,499,11244.026173
-157.906548,499,11291.227849
-167.449382,499,11499.827051
-173.894669,499,11542.309284
-152.27933,499,11585.347812
-169.376375,499,11629.342274
-147.600691,499,11678.447541
-174.376178,499,11909.279597
-166.067852,499,11954.107081
-150.285433,499,11998.424552
-181.995618,499,12043.133734
-158.580879,499,12088.778401
-150.627996,499,12304.057833
-164.42945,499,12349.988518
-140.524943,499,12397.126086
-154.224797,499,12445.898598
-162.229928,499,12493.179531
-150.154772,499,12711.262684
-162.576988,499,12755.479465
-173.370043,499,12801.001591
-165.098942,499,12845.259316
-147.605623,499,12892.506183
-161.136841,499,13120.718421
-146.515419,499,13165.104436
-160.434236,499,13209.302108
-180.418249,499,13253.730758
-168.083784,499,13299.311004
-147.438641,499,13519.229305
-142.000105,499,13567.098181
-139.732487,499,13615.819722
-153.429895,499,13665.502282
-158.392607,499,13715.446582
-133.30426,499,13927.814397
-150.058846,499,13971.952203
-144.786095,499,14016.508033
-163.964683,499,14061.549329
-152.415368,499,14107.815987
-161.696688,499,14340.075121
-142.43533,499,14386.237101
-174.30979,499,14430.871897
-140.97574,499,14475.729
-163.721002,499,14522.274776
-160.175591,499,14730.871686
-169.114977,499,14778.165261
-151.225512,499,14827.572525
-157.859816,499,14877.857361
-158.254004,499,14926.46084
-159.901389,499,15146.095179
-161.590117,499,15192.173866
-149.361381,499,15237.63157
-153.475286,499,15281.26381
-154.660073,499,15326.652815
-154.743009,499,15555.192867
-171.256925,499,15600.932823
-178.28743,499,15646.491074
-160.908796,499,15693.216501
-147.267779,499,15739.78762
-138.993869,499,15958.38845
-155.285462,499,16007.062816
-156.840124,499,16058.644536
-146.830525,499,16106.843821
-166.627332,499,16154.98536
-160.521464,499,16369.189861
-155.003385,499,16414.64807
-168.8663,499,16458.532053
-157.431976,499,16501.544305
-163.142058,499,16546.486442
