#{"t_start": 1684972438.07134, "env_id": "quantumEnvMeasureFilter-v0"}
r,l,t
-542.086452,499,52.727005
-607.188096,499,104.923313
-632.182596,499,155.338573
-522.850872,499,206.05122
-559.831843,499,259.088475
-585.51211,499,396.519885
-515.457707,499,448.812918
-568.888901,499,500.060101
-537.418529,499,557.616427
-552.99536,499,616.201266
-628.058306,499,777.708525
-515.200487,499,836.671909
-641.69414,499,896.4451
-592.536446,499,955.568142
-512.095901,499,1013.811011
-504.279684,499,1171.461229
-539.453346,499,1231.20815
-530.61868,499,1288.304762
-659.552999,499,1346.826156
-547.835136,499,1407.603395
-600.673873,499,1578.279366
-543.470173,499,1639.293775
-578.522988,499,1696.658773
-689.113684,499,1755.818749
-607.809718,499,1815.090136
-662.004373,499,1970.260996
-543.054617,499,2033.714839
-578.940576,499,2094.21571
-563.414805,499,2153.606617
-550.977052,499,2213.421451
-606.705546,499,2364.552471
-666.574599,499,2426.422761
-539.992794,499,2485.097095
-524.014296,499,2543.524043
-558.731395,499,2604.163635
-597.445279,499,2767.195519
-621.196343,499,2827.90064
-509.252966,499,2885.638648
-541.092982,499,2944.761635
-601.353774,499,3003.300272
-471.08899,499,3154.738446
-524.467195,499,3216.574806
-598.849937,499,3278.3108
-645.929242,499,3338.556622
-560.778066,499,3398.450668
-638.745978,499,3541.481469
-647.033785,499,3602.093146
-544.966369,499,3662.641786
-541.946921,499,3720.660501
-605.823738,499,3779.473401
-588.939406,499,3942.507503
-548.745401,499,4001.726459
-540.860275,499,4062.981754
-651.334688,499,4122.248557
-635.948482,499,4180.137853
-614.979395,499,4331.931818
-528.069538,499,4389.229067
-537.365579,499,4452.685362
-529.046083,499,4515.802903
-648.02617,499,4574.208449
-527.204027,499,4724.603412
-524.682969,499,4782.048656
-569.43282,499,4841.62261
-557.467095,499,4902.60534
-487.093245,499,4959.830945
-507.391594,499,5122.671328
-647.888672,499,5180.094
-613.605361,499,5239.00321
-558.994105,499,5300.645728
-637.950808,499,5358.336497
-692.131725,499,5511.514858
-524.46997,499,5568.387673
-521.527135,499,5627.136986
-698.020839,499,5691.201041
-532.101867,499,5753.200922
-528.184396,499,5902.417002
-579.910529,499,5961.556956
-599.248162,499,6019.112986
-626.359589,499,6077.984868
-666.676946,499,6138.461951
-477.658113,499,6299.877069
-542.592709,499,6360.171253
-507.341074,499,6418.908729
-651.466627,499,6477.920681
-500.53714,499,6537.877571
-555.543688,499,6692.741707
-609.056962,499,6750.194742
-528.722716,499,6808.365309
-510.083434,499,6871.237071
-544.034457,499,6934.816892
-636.342353,499,7089.250694
-638.13317,499,7147.337609
-549.87609,499,7205.336764
-637.515288,499,7262.641673
-659.524588,499,7322.874052
-489.279918,499,7483.127264
-521.604097,499,7544.759573
-682.635077,499,7603.552289
-573.04222,499,7661.508839
-496.312784,499,7719.151505
-583.57009,499,7851.986999
-602.367077,499,7906.747919
-589.718164,499,7961.485124
-623.25739,499,8017.145303
-477.455315,499,8075.725866
-568.879241,499,8213.469947
-598.856033,499,8269.608592
-648.154054,499,8324.014613
-517.554311,499,8378.670419
-549.060209,499,8434.1278
-610.082501,499,8571.548665
-471.891927,499,8630.531277
-556.319696,499,8688.592586
-522.73966,499,8744.467088
-654.284686,499,8799.865933
-597.305501,499,8936.410674
-566.84247,499,8992.397054
-658.093294,499,9049.093142
-653.129557,499,9104.879793
-553.468042,499,9159.401228
-468.074755,499,9312.400144
-660.057544,499,9367.762417
-566.993345,499,9424.366811
-527.605135,499,9480.933391
-574.268985,499,9534.737861
-593.469585,499,9669.488508
-597.148543,499,9724.608206
-590.237332,499,9781.030307
-505.773241,499,9841.810146
-559.050883,499,9898.797656
-588.554722,499,10033.003032
-586.436427,499,10088.188999
-528.618025,499,10142.616969
-550.921099,499,10199.649168
-615.405756,499,10255.549633
-463.927822,499,10391.702958
-531.35497,499,10450.867856
-571.219739,499,10506.524643
-643.472614,499,10564.189112
-549.916333,499,10620.034064
-564.876267,499,10751.242569
-747.288441,499,10807.240885
-535.947147,499,10863.004946
-547.171291,499,10920.501444
-519.401172,499,10979.682818
-617.006916,499,11112.92247
-535.493823,499,11168.217021
-556.934529,499,11223.808695
-530.825495,499,11278.971999
-621.025516,499,11336.534745
-614.822469,499,11465.500727
-549.551873,499,11522.207337
-461.534029,499,11582.0167
-632.294362,499,11637.969496
-520.632342,499,11695.182032
-601.049107,499,11829.591659
-522.993399,499,11884.034567
-535.272801,499,11940.789101
-581.686813,499,11996.927569
-485.53921,499,12052.173188
-517.68677,499,12207.129985
-542.2178,499,12261.881492
-615.363501,499,12318.891718
-632.19662,499,12375.666897
-475.905688,499,12429.394361
-757.562182,499,12570.85291
-544.572689,499,12625.331904
-536.38888,499,12682.813514
-493.879869,499,12744.644012
-572.671041,499,12800.632688
-529.12075,499,12941.940851
-557.867518,499,12995.9477
-506.927933,499,13049.983057
-618.855808,499,13108.103559
-672.121968,499,13164.117828
-552.536168,499,13307.189485
-498.40208,499,13364.399452
-566.538989,499,13417.808331
-565.581684,499,13474.348802
-604.769473,499,13530.450553
-536.29515,499,13668.121675
-524.636777,499,13724.244712
-607.683902,499,13778.232365
-440.345666,499,13833.157909
-509.818618,499,13893.199811
-538.281043,499,14030.935262
-592.109931,499,14086.640948
-574.987323,499,14141.128039
-560.747228,499,14195.794932
-659.424424,499,14251.893709
-544.857785,499,14385.284466
-541.353255,499,14442.697365
-495.902503,499,14500.793516
-597.384424,499,14555.554209
-546.26307,499,14612.151125
-538.243742,499,14743.742396
-538.72331,499,14798.827903
-626.696555,499,14854.365549
-657.413038,499,14908.546253
-593.845186,499,14963.936221
-472.053497,499,15119.280859
-568.484937,499,15174.651527
-517.282318,499,15230.699827
-578.49241,499,15284.676154
-506.056014,499,15339.31032
-513.781406,499,15481.847676
-640.081206,499,15534.891062
-443.540059,499,15592.475978
-520.262415,499,15651.332467
-545.737278,499,15706.799463
-534.167746,499,15848.216617
-571.10191,499,15901.986494
-578.946736,499,15955.840822
-621.621563,499,16012.478759
-556.36917,499,16067.087989
-531.106414,499,16208.706876
-554.543412,499,16266.754172
-560.868478,499,16320.098424
-553.533944,499,16375.918049
-535.106207,499,16432.981503
-602.011971,499,16565.301079
-605.683,499,16621.979506
-625.121682,499,16675.528503
-541.130108,499,16728.64891
-446.932728,499,16788.73552
-535.814917,499,16934.301778
-553.972756,499,16990.790464
-529.58257,499,17045.268106
-532.428945,499,17098.751365
-508.576424,499,17154.786722
-639.882196,499,17295.392137
