#{"t_start": 1686329925.2963302, "env_id": "quantumEnvMeasureFilter-v0"}
r,l,t
-567.834282,499,42.251312
-485.987132,499,79.076808
-540.27463,499,116.799686
-485.463963,499,154.302345
-523.495984,499,190.651713
-545.230968,499,229.339829
-525.40673,499,267.31836
-623.575649,499,304.663856
-549.690582,499,342.818336
-561.388337,499,379.344553
-538.423133,499,416.724684
-581.196362,499,452.97715
-506.373197,499,489.968949
-610.667543,499,528.175308
-689.273297,499,566.419903
-525.967288,499,604.870624
-497.722444,499,642.314389
-568.767732,499,681.334185
-557.545545,499,718.172936
-557.692458,499,755.439564
-533.923449,499,797.558531
-561.388312,499,837.997578
-602.834373,499,875.445728
-475.076745,499,913.83075
-502.632364,499,952.539465
-572.716958,499,992.508255
-645.111367,499,1031.593333
-581.092216,499,1070.170065
-572.102337,499,1106.793835
-679.293457,499,1143.070643
-564.197181,499,1179.284014
-523.408669,499,1214.034813
-602.515722,499,1247.052925
-581.340011,499,1281.63898
-537.112092,499,1316.338964
-584.978913,499,1351.786851
-569.824679,499,1386.018718
-614.434996,499,1419.319616
-637.786961,499,1452.248557
-535.723594,499,1486.131801
-541.927434,499,1519.406508
-550.976045,499,1551.951825
-597.54937,499,1586.637737
-587.92254,499,1620.555882
-500.445235,499,1654.241748
-550.627248,499,1687.498378
-613.009247,499,1720.557156
-468.605179,499,1753.076932
-514.9906,499,1785.93011
-607.932165,499,1818.788304
-655.672437,499,1854.141017
-580.080466,499,1888.543578
-603.869995,499,1923.340202
-680.531454,499,1959.643244
-541.999643,499,1993.841787
-528.787335,499,2028.736263
-605.216181,499,2063.108872
-558.075011,499,2096.51942
-539.623953,499,2130.894053
-545.279001,499,2163.900553
-615.905058,499,2197.166816
-617.136404,499,2231.065478
-624.899557,499,2263.895071
-499.874225,499,2299.042439
-520.958022,499,2334.254996
-556.837533,499,2367.966026
-609.930897,499,2403.188129
-538.143563,499,2437.149489
-558.07643,499,2471.4144
-594.05662,499,2504.500407
-562.509487,499,2539.17077
-474.424715,499,2572.930907
-515.460022,499,2608.210255
-653.491441,499,2643.097034
-593.888012,499,2676.732568
-569.118838,499,2710.645139
-628.067401,499,2744.074686
-690.680021,499,2777.807352
-515.871612,499,2811.098476
-502.159282,499,2844.379059
-667.764048,499,2878.584415
-536.378345,499,2911.693123
-513.223103,499,2945.803396
-585.628982,499,2979.051539
-640.251572,499,3012.669447
-586.975344,499,3047.931948
-661.354674,499,3081.958389
-477.948997,499,3115.807153
-530.777272,499,3149.81933
-520.364379,499,3184.635203
-609.738977,499,3220.140441
-526.992546,499,3253.671537
-512.165841,499,3288.307694
-613.128619,499,3322.422035
-497.867192,499,3356.826259
-512.976148,499,3391.359298
-493.138429,499,3424.874889
-643.804238,499,3459.612581
-599.668647,499,3493.456456
-542.358482,499,3528.414882
-657.364791,499,3565.893744
-658.158627,499,3599.745425
-502.198283,499,3633.471321
-526.3632,499,3668.124679
-651.701484,499,3703.3551
-593.514857,499,3738.072889
-507.738358,499,3771.609078
-582.191994,499,3805.010542
-635.499984,499,3838.565564
-580.663134,499,3873.402787
-629.369307,499,3908.132924
-483.542799,499,3940.657683
-556.661709,499,3973.892327
-558.593756,499,4006.798673
-643.201665,499,4039.016558
-502.376519,499,4073.501077
-555.681015,499,4104.757452
-617.815174,499,4136.199074
-483.477975,499,4167.774002
-518.73422,499,4200.79088
-502.226777,499,4234.803063
-667.956569,499,4267.436521
-588.75004,499,4300.87813
-582.883163,499,4332.920846
-665.53075,499,4365.372329
-580.367308,499,4399.849689
-564.007917,499,4431.900933
-465.152395,499,4463.680217
-654.075549,499,4495.774344
-582.359639,499,4527.85802
-560.705786,499,4561.512589
-565.006151,499,4593.619175
-605.167973,499,4625.753938
-605.887881,499,4658.707461
-592.834389,499,4691.277082
-460.88399,499,4724.655834
-564.722007,499,4757.764895
-592.425086,499,4790.706945
-606.944679,499,4822.638318
-541.198334,499,4854.553754
-571.437071,499,4886.463118
-604.071372,499,4917.573734
-459.122803,499,4950.819167
-530.687812,499,4982.646016
-558.33724,499,5014.917413
-603.822416,499,5047.189653
-647.502042,499,5077.952544
-508.655335,499,5109.817527
-765.829636,499,5142.269108
-519.139119,499,5173.143041
-544.408416,499,5206.93692
-501.429947,499,5240.382497
-641.1014,499,5272.427033
-515.906718,499,5304.239548
-567.648267,499,5336.399404
-534.588597,499,5370.637738
-628.078338,499,5404.333856
-626.78343,499,5437.565356
-541.474856,499,5471.283682
-492.809381,499,5502.524389
-586.069712,499,5535.627294
-583.989137,499,5568.251129
-574.133484,499,5600.733094
-532.195476,499,5632.376182
-536.682473,499,5666.112454
-593.279366,499,5699.814888
-466.49074,499,5732.913406
-530.359064,499,5764.582251
-568.129571,499,5798.253314
-654.573762,499,5832.022319
-625.716189,499,5865.346745
-511.128502,499,5896.598247
-752.328709,499,5928.575986
-539.784867,499,5961.102234
-558.347705,499,5994.461407
-537.828639,499,6027.432348
-607.45821,499,6060.995707
-541.330212,499,6093.435459
-567.157886,499,6125.923799
-519.183912,499,6158.644428
-624.074173,499,6191.414367
-653.251256,499,6223.969701
-540.280803,499,6257.558291
-497.814311,499,6289.843157
-559.498917,499,6323.460435
-553.528764,499,6357.554035
-553.087154,499,6390.157743
-550.976287,499,6421.74715
-605.262871,499,6453.653387
-627.224635,499,6487.031156
-473.864297,499,6520.450628
-507.710956,499,6551.481354
-600.763403,499,6583.242341
-648.407558,499,6616.074944
-573.426239,499,6648.349309
-574.736256,499,6680.743061
-676.56904,499,6713.345924
-533.035565,499,6746.764244
-520.012977,499,6779.443489
-577.396674,499,6812.758287
-572.961809,499,6846.989855
-557.496758,499,6880.34875
-573.688137,499,6913.373209
-561.214339,499,6946.491887
-629.284861,499,6980.123323
-656.827245,499,7012.627524
-520.214168,499,7045.99455
-545.274206,499,7077.449058
-548.26192,499,7111.163112
-584.883943,499,7144.581283
-606.002537,499,7178.309361
-518.247106,499,7210.691353
-559.803689,499,7243.724947
-580.790743,499,7275.785553
-461.483202,499,7309.349887
-524.326216,499,7340.824157
-605.875657,499,7374.655201
-631.336441,499,7406.808672
-578.687851,499,7438.117162
-642.988503,499,7473.002388
-633.17091,499,7506.373142
-537.579072,499,7539.623127
-525.457109,499,7571.680166
-583.524595,499,7604.54864
-579.288622,499,7637.970244
-534.206866,499,7669.385245
-537.605996,499,7701.914748
-612.485094,499,7734.277306
-619.399637,499,7766.67115
-624.986412,499,7799.572153
-502.490441,499,7834.555413
-538.162434,499,7866.40704
-526.862108,499,7899.365395
-616.657068,499,7931.849998
-523.596443,499,7965.039445
-509.554728,499,7996.566743
-563.854987,499,8029.569498
-550.097683,499,8062.817204
-475.007326,499,8094.989098
-550.46233,499,8126.728154
-654.249688,499,8158.746773
-591.868763,499,8190.813121
-557.074848,499,8222.463943
-603.960367,499,8255.970123
-676.080547,499,8287.920215
-521.197164,499,8319.856096
-486.778087,499,8351.354245
-672.854282,499,8381.921224
-556.793438,499,8414.814968
-572.806928,499,8446.278929
-599.424366,499,8483.153388
-602.519749,499,8515.353199
-576.834821,499,8547.806159
-658.022291,499,8580.589557
-489.147612,499,8612.694963
-530.304495,499,8645.243972
-503.465867,499,8677.062279
-616.902591,499,8709.661983
-556.301385,499,8741.132954
-549.436945,499,8774.031278
-624.272968,499,8806.515599
-524.980546,499,8838.712132
-526.385162,499,8871.384033
-525.624958,499,8902.808707
-639.660205,499,8935.449402
-580.932271,499,8969.038518
-563.368259,499,9001.888132
-637.157743,499,9034.073503
-702.25625,499,9067.170905
-513.222783,499,9101.921046
-502.357374,499,9136.369665
-625.211013,499,9168.80417
-580.674941,499,9201.605285
-513.429961,499,9235.511975
-556.750788,499,9268.082229
-620.285876,499,9302.693561
-618.283326,499,9334.56568
-621.922411,499,9368.240985
-493.906492,499,9400.078031
-580.395504,499,9432.359147
-564.087881,499,9466.257163
-633.834217,499,9497.758103
-539.552706,499,9529.942082
-518.159165,499,9561.448834
-656.019311,499,9593.912844
-475.023315,499,9627.232208
-534.533574,499,9661.419542
-499.832927,499,9693.610097
-669.480264,499,9727.232119
-574.415661,499,9759.111998
-577.020715,499,9790.934155
-677.414867,499,9822.858073
-593.440159,499,9855.257002
-542.648526,499,9887.730153
-493.530914,499,9920.538162
-635.683216,499,9954.094271
-575.978441,499,9987.137451
-541.792932,499,10018.699756
-562.409126,499,10050.295627
-594.271391,499,10082.667973
-600.983316,499,10116.845074
-626.057778,499,10149.226285
-475.597427,499,10180.362612
-557.996514,499,10211.309623
-610.758475,499,10243.249414
-592.882277,499,10276.590539
-505.946313,499,10308.346651
-547.281038,499,10339.155806
-620.010092,499,10372.444086
-490.934757,499,10404.975286
-530.879486,499,10438.221391
-552.820024,499,10469.744556
-607.29224,499,10501.660486
-603.043468,499,10533.850461
-515.219276,499,10565.698318
-738.8815,499,10598.190466
-572.921617,499,10629.379084
-529.498973,499,10661.927354
-505.717415,499,10694.258131
-615.114833,499,10725.653318
-502.749651,499,10758.364197
-570.177474,499,10790.984618
-531.721977,499,10823.980674
-591.455237,499,10856.376067
-619.170812,499,10888.018643
-539.189423,499,10919.642814
-496.840906,499,10952.032735
-584.248901,499,10984.323092
-577.356466,499,11017.58851
-576.722457,499,11050.139467
-522.941769,499,11083.896069
-537.83807,499,11116.220466
-592.48894,499,11149.349956
-458.436393,499,11181.249209
-523.182835,499,11212.568554
-539.34709,499,11245.563784
-607.821441,499,11278.777504
-653.694592,499,11310.648401
-486.772698,499,11342.534426
-737.849497,499,11374.379282
-527.899752,499,11406.648961
-520.018129,499,11438.599527
-461.846907,499,11470.515183
-595.512344,499,11501.72771
-526.919647,499,11533.816205
-540.670321,499,11567.415367
-532.907602,499,11600.418059
-589.57568,499,11632.676165
-671.765807,499,11664.13483
-581.722874,499,11696.685376
-506.139267,499,11731.888859
-560.232379,499,11763.536883
-527.991745,499,11795.335172
-564.240848,499,11825.997216
-529.034563,499,11857.537482
-528.735393,499,11891.05314
-628.637372,499,11922.925495
-440.768748,499,11953.827036
-516.544281,499,11985.90993
-558.630635,499,12017.667738
-581.693916,499,12049.151652
-576.175304,499,12080.803911
-559.517599,499,12112.695773
-645.969991,499,12144.641189
-525.707042,499,12178.271047
-592.149091,499,12214.075222
-529.8528,499,12249.223526
-528.983997,499,12284.666758
-557.000923,499,12319.621343
-530.743914,499,12354.951869
-556.815161,499,12389.280836
-550.785999,499,12423.532359
-635.246065,499,12458.783876
-587.564412,499,12492.898808
-478.473576,499,12527.837721
-570.813248,499,12563.171038
-527.090646,499,12598.630954
-618.749187,499,12633.379848
-483.675529,499,12668.086663
-530.749583,499,12701.756348
-622.581079,499,12736.13516
-455.866972,499,12771.920449
-522.574123,499,12805.010873
-553.380064,499,12840.283011
-514.806713,499,12875.044698
-557.837721,499,12910.772031
-588.886035,499,12946.260807
-626.212717,499,12981.150905
-587.233031,499,13016.103431
-526.237443,499,13051.083613
-525.083367,499,13086.15094
-579.581472,499,13120.264067
-536.824784,499,13156.102443
-525.595815,499,13189.937237
-596.319591,499,13224.910599
-591.111664,499,13260.908386
-590.371156,499,13295.617026
-539.165192,499,13330.267891
-472.263285,499,13364.873257
-499.983203,499,13400.41564
-554.703107,499,13437.20781
-524.30896,499,13471.648459
-519.58893,499,13507.215085
-515.533283,499,13542.122982
-602.492566,499,13578.213309
-469.403728,499,13613.866838
-520.343929,499,13645.682097
-586.373558,499,13676.471343
-497.190068,499,13707.148192
-554.363026,499,13738.327774
-607.325686,499,13770.378073
-668.445449,499,13802.39219
-514.056524,499,13834.400378
-528.54722,499,13867.042898
-580.071436,499,13899.342356
-551.784057,499,13931.83516
-524.305199,499,13963.815267
-577.926245,499,13997.226195
-584.875332,499,14029.212762
-537.572089,499,14061.175533
-636.924072,499,14092.954834
-485.650585,499,14125.636405
-507.984016,499,14157.174557
-495.883664,499,14188.706451
-563.550698,499,14221.255514
-480.967251,499,14253.291237
-531.326262,499,14286.081477
-580.234059,499,14317.657113
-572.184476,499,14349.936928
-482.85817,499,14380.682122
-521.974402,499,14413.025357
-618.635723,499,14444.96968
-548.425349,499,14476.6287
-541.677609,499,14509.083423
-620.140492,499,14540.80214
-641.497957,499,14572.950006
-496.128059,499,14604.951685
-543.183945,499,14636.67686
-588.106235,499,14668.434606
-583.502653,499,14700.38974
-466.849576,499,14732.462853
-595.471186,499,14764.684853
-603.889497,499,14796.225267
-524.066763,499,14829.825587
-633.819642,499,14861.840994
-532.296109,499,14895.521342
-532.597245,499,14928.272965
-551.792047,499,14961.602756
-581.227422,499,14992.478139
-457.101766,499,15024.550996
-500.200507,499,15059.124036
-606.338049,499,15090.721194
-484.83489,499,15122.843835
-515.244171,499,15153.894449
-514.799973,499,15185.144588
-639.46488,499,15218.937649
-538.252266,499,15251.027794
-546.662278,499,15283.050382
-624.114313,499,15314.679391
-672.250435,499,15347.309512
-507.368341,499,15380.649223
-429.439289,499,15413.714547
-547.834291,499,15444.919175
-535.708764,499,15478.077058
-523.103249,499,15509.231754
-563.199157,499,15541.75732
-606.700286,499,15574.054678
-581.919823,499,15606.423052
-603.536204,499,15639.567384
-499.834009,499,15671.079971
-573.038674,499,15703.918976
-532.32121,499,15736.822436
-566.176052,499,15768.654928
-523.641382,499,15801.156515
-478.360674,499,15832.575191
-608.52622,499,15866.580197
-438.189364,499,15899.6309
-506.459582,499,15931.892313
-536.637551,499,15964.450205
-593.147228,499,15996.771899
-512.755802,499,16028.75844
-541.269344,499,16060.054965
-719.321707,499,16091.917583
-555.726104,499,16124.719183
-515.269772,499,16157.541111
-443.869724,499,16189.464337
-580.073432,499,16221.738387
-514.072127,499,16254.043411
-533.565599,499,16285.210746
-537.144687,499,16317.740276
-594.415004,499,16350.065105
-603.011939,499,16382.268134
-539.538552,499,16413.883101
-502.229495,499,16446.514889
-614.198765,499,16478.36825
-494.821959,499,16511.542739
-554.166184,499,16543.853123
-486.446667,499,16575.558385
-501.146615,499,16608.62128
-575.737462,499,16639.73622
-483.823741,499,16672.989434
-521.261969,499,16707.725605
-550.364458,499,16741.520262
-591.531791,499,16771.905483
-596.693401,499,16804.139178
-456.838066,499,16836.673939
-743.879126,499,16869.493119
-585.105117,499,16901.869299
-503.093485,499,16933.855455
-449.412134,499,16965.976867
-555.97996,499,16998.133255
-491.241727,499,17031.490295
-511.884667,499,17064.558668
-511.350449,499,17096.652406
-585.454916,499,17129.571305
-648.823979,499,17160.946681
-522.618465,499,17193.780473
-543.091442,499,17225.303303
-590.870732,499,17258.746174
-519.31691,499,17291.00305
-571.694221,499,17323.487204
-500.823808,499,17357.995304
-461.979616,499,17390.191226
-611.935167,499,17423.020311
-425.060984,499,17455.368022
-512.659465,499,17489.66317
-528.713829,499,17523.613109
-599.110313,499,17557.873143
-600.85722,499,17591.914062
-546.077343,499,17622.691535
-642.260576,499,17653.289071
-524.965974,499,17684.678946
-507.25478,499,17719.602349
-492.802487,499,17753.408302
-521.392555,499,17786.858185
-533.547283,499,17818.763344
-504.851508,499,17851.214239
-524.280205,499,17884.042947
-618.850752,499,17915.533716
-639.921119,499,17948.569675
-530.959337,499,17981.118621
-533.437568,499,18013.764344
-576.351887,499,18045.345443
-514.286728,499,18075.97111
-573.979287,499,18108.955556
-480.397404,499,18142.039026
-480.887924,499,18174.643486
-618.452776,499,18207.133241
-455.591744,499,18239.158279
-505.279166,499,18270.719342
-549.172226,499,18306.243961
-540.736227,499,18339.839296
-596.932119,499,18371.969029
-566.962136,499,18405.154884
-613.517985,499,18437.365583
-555.955707,499,18469.453026
-513.37006,499,18501.712139
-543.127712,499,18534.633508
-526.674962,499,18567.464045
-532.439963,499,18600.527378
-494.432998,499,18632.091732
-593.514328,499,18665.296082
-558.846352,499,18697.940515
-598.800188,499,18730.2137
-561.071183,499,18763.019302
-445.178812,499,18797.902866
-540.247815,499,18829.769153
-549.966921,499,18861.508263
-571.85249,499,18893.909385
-519.814174,499,18925.411585
-492.255943,499,18956.856583
-594.825472,499,18988.793327
-439.096669,499,19021.340641
-515.16278,499,19054.292262
-575.521087,499,19087.108503
-501.139706,499,19120.459826
-548.054646,499,19154.197583
-629.177045,499,19185.910431
-634.852672,499,19217.864988
-498.915002,499,19250.878406
-484.633332,499,19283.987706
-560.296354,499,19316.210148
