#{"t_start": 1685747813.985018, "env_id": "quantumEnvMeasureFilter-v0"}
r,l,t
-515.13452,499,46.720593
-690.0628,499,93.273548
-627.537287,499,139.7399
-608.548932,499,186.24034
-593.732492,499,232.72138
-507.127155,499,280.700454
-505.814089,499,327.246036
-579.655731,499,373.784885
-591.64266,499,420.443002
-589.415872,499,467.036732
-540.415605,499,514.589902
-554.239413,499,561.313993
-601.309637,499,607.771188
-479.563723,499,654.379754
-520.204418,499,700.877538
-562.655741,499,748.495525
-644.372238,499,795.101681
-650.084024,499,841.914464
-516.061916,499,888.590383
-778.537262,499,935.038874
-565.076349,499,982.657357
-545.049684,499,1029.505463
-559.678294,499,1076.260898
-633.948056,499,1122.870936
-536.013219,499,1169.459015
-582.754116,499,1216.935518
-504.700934,499,1263.635587
-602.363811,499,1310.075136
-703.200907,499,1356.810434
-551.054957,499,1403.392666
-515.683032,499,1451.400198
-583.05802,499,1498.257304
-566.26829,499,1544.494589
-571.483882,499,1591.022815
-534.656203,499,1637.836207
-562.945442,499,1685.565693
-610.939761,499,1732.088856
-465.842634,499,1778.659164
-510.823006,499,1825.166444
-609.739529,499,1871.620553
-648.275496,499,1919.208871
-608.949715,499,1965.862133
-591.105856,499,2012.333472
-716.667337,499,2058.89882
-536.85961,499,2105.190462
-537.787712,499,2152.88247
-593.655184,499,2199.574062
-598.570264,499,2246.139155
-565.483397,499,2292.61782
-574.028517,499,2339.558848
-564.525203,499,2390.157386
-628.469093,499,2437.223567
-676.315846,499,2484.387184
-544.265855,499,2531.30417
-505.325315,499,2578.443913
-552.737988,499,2626.622208
-597.939358,499,2673.608298
-590.686081,499,2720.417436
-523.342716,499,2767.274556
-574.5359,499,2814.05715
-598.200859,499,2862.11517
-470.123627,499,2909.064611
-506.57012,499,2955.855329
-634.657677,499,3002.998298
-642.398103,499,3049.851133
-576.66506,499,3097.861603
-647.007484,499,3144.798775
-671.020096,499,3191.847299
-554.76468,499,3239.123268
-519.732621,499,3285.843023
-632.43896,499,3333.789213
-563.835366,499,3380.471568
-548.425298,499,3427.380213
-539.065536,499,3474.296116
-635.163005,499,3520.945753
-637.027828,499,3568.833709
-620.055596,499,3615.468151
-514.812994,499,3662.370937
-551.43743,499,3709.429348
-577.804377,499,3756.551346
-634.083773,499,3804.476749
-553.499524,499,3851.616837
-551.000395,499,3898.515774
-592.526569,499,3944.932109
-570.01985,499,3991.635086
-484.303434,499,4039.476795
-535.668818,499,4086.20101
-656.262735,499,4132.88716
-614.818816,499,4179.608137
-580.311492,499,4226.317197
-624.126554,499,4274.082954
-711.291541,499,4320.704707
-520.435801,499,4367.544311
-509.507349,499,4414.413771
-675.083189,499,4461.329955
-546.741545,499,4509.494218
-521.882644,499,4556.720683
-608.316506,499,4603.990823
-625.300944,499,4651.264417
-594.443091,499,4698.308465
-676.891373,499,4749.784081
-485.148051,499,4797.349505
-541.02355,499,4844.995186
-533.459931,499,4892.783509
-642.044513,499,4940.693273
-529.136603,499,4989.381543
-513.485695,499,5037.010685
-629.116721,499,5084.702396
-504.574739,499,5132.166742
-518.712695,499,5179.73436
-494.873175,499,5228.504313
-669.950835,499,5276.021544
-622.68131,499,5323.516463
-533.857008,499,5370.847254
-671.722584,499,5418.30382
-663.880693,499,5466.910178
-485.920102,499,5514.489117
-529.202637,499,5561.895103
-668.439277,499,5609.58572
-592.992744,499,5657.17277
-500.840164,499,5705.664259
-594.300863,499,5752.935675
-624.180717,499,5800.359433
-565.340941,499,5847.811312
-625.689505,499,5895.247442
-475.943912,499,5943.875151
-583.280368,499,5991.334229
-554.30319,499,6038.849975
-613.038836,499,6086.199473
-507.078148,499,6133.681086
-526.381359,499,6182.349144
-637.768339,499,6230.000112
-490.844302,499,6277.547213
-553.180906,499,6324.869831
-495.686557,499,6371.985938
-680.324385,499,6420.488767
-576.105662,499,6467.947892
-576.213271,499,6515.335616
-684.712986,499,6562.626322
-628.933726,499,6610.191545
-545.487217,499,6658.791733
-462.951743,499,6706.397717
-667.574832,499,6753.937078
-581.687375,499,6801.296788
-543.612986,499,6848.791305
-570.00854,499,6897.614133
-610.278707,499,6944.849773
-625.623442,499,6992.438568
-601.814543,499,7039.731602
-475.450905,499,7087.383397
-565.514871,499,7139.04918
-589.501382,499,7186.771196
-604.246526,499,7234.306658
-550.857714,499,7281.798971
-571.165436,499,7329.619232
-637.411534,499,7378.146987
-459.904344,499,7425.704199
-523.323699,499,7473.372088
-601.92196,499,7520.822168
-609.707637,499,7568.366846
-615.984655,499,7616.938952
-512.094233,499,7664.175982
-757.209463,499,7711.529867
-528.260053,499,7759.232797
-528.350393,499,7806.814564
-518.415368,499,7855.471975
-670.259928,499,7903.046339
-525.173891,499,7950.690356
-583.67004,499,7998.056017
-541.142009,499,8045.613338
-621.225533,499,8094.311642
-634.996171,499,8141.798521
-532.177949,499,8189.318774
-480.061775,499,8236.813525
-579.021651,499,8284.264723
-579.957265,499,8333.160987
-588.141304,499,8380.648445
-541.90716,499,8428.240826
-559.82409,499,8475.721817
-587.27057,499,8523.213211
-485.249826,499,8572.015472
-536.679786,499,8619.674019
-601.932214,499,8667.290986
-630.341163,499,8714.798621
-640.678037,499,8762.34134
-503.038707,499,8811.110814
-752.976916,499,8858.750408
-545.460457,499,8906.231555
-557.00654,499,8953.635046
-533.009891,499,9001.133781
-655.671467,499,9049.758714
-534.614254,499,9097.337026
-570.378775,499,9144.801178
-512.474055,499,9192.461161
-619.141405,499,9240.052742
-670.220277,499,9288.986774
-534.070335,499,9336.496419
-509.136505,499,9384.005257
-565.868005,499,9431.586157
-609.983665,499,9479.1187
-560.184766,499,9531.139265
-543.959982,499,9578.597421
-600.299389,499,9626.148749
-680.244839,499,9673.512915
-468.746613,499,9721.040555
-505.599139,499,9769.80352
-633.516645,499,9817.20059
-652.11544,499,9864.720114
-600.182202,499,9912.361478
-576.633306,499,9959.823407
-700.718274,499,10008.443636
-523.427297,499,10056.003989
-545.070314,499,10103.282118
-612.055595,499,10150.788066
-586.498299,499,10198.206234
-556.937308,499,10246.794712
-559.300542,499,10294.413666
-572.5384,499,10342.044631
-616.409256,499,10389.682073
-645.883156,499,10437.260903
-541.313458,499,10486.232705
-546.557902,499,10533.836962
-547.245437,499,10581.51249
-593.421784,499,10628.891188
-599.302549,499,10676.370871
-510.309757,499,10725.23262
-541.020062,499,10772.786545
-588.865558,499,10820.293914
-472.985559,499,10867.740791
-534.620129,499,10915.148759
-570.083335,499,10964.039494
-640.636769,499,11011.531211
-570.862162,499,11059.101439
-592.446597,499,11106.523611
-640.558482,499,11154.169313
-560.421553,499,11203.002949
-518.088029,499,11250.353719
-583.056714,499,11298.083087
-556.064408,499,11345.651223
-539.716246,499,11393.007866
-542.66577,499,11441.961246
-603.763788,499,11489.967796
-603.21071,499,11537.363341
-647.182302,499,11584.946909
-493.68182,499,11632.642414
-516.196673,499,11681.563903
-508.072715,499,11728.872214
-589.948861,499,11776.267807
-515.002258,499,11823.716371
-513.228544,499,11871.228566
-573.551536,499,11923.131693
-559.914657,499,11971.077523
-492.617076,499,12018.688037
-524.384883,499,12066.123873
-657.37839,499,12113.678379
-603.899494,499,12162.461804
-562.726144,499,12210.093849
-613.485142,499,12257.634865
-669.539951,499,12305.25311
-478.146456,499,12352.715066
-470.170868,499,12401.552963
-708.431824,499,12449.235994
-535.170454,499,12496.868077
-567.075548,499,12544.351079
-601.027767,499,12591.78215
-608.05424,499,12640.648457
-584.137613,499,12688.22115
-656.216078,499,12735.732713
-486.712094,499,12783.164828
-546.942732,499,12830.700754
-511.535938,499,12879.50802
-635.645082,499,12927.078902
-584.218734,499,12974.517905
-537.262914,499,13022.061157
-633.280165,499,13069.735228
-512.182719,499,13118.483495
-526.378664,499,13166.061077
-533.895234,499,13213.60026
-641.47426,499,13261.112088
-612.05564,499,13308.419623
-544.734375,499,13357.028237
-663.76622,499,13404.473879
-718.328225,499,13452.093311
-522.404798,499,13499.47274
-505.354902,499,13546.758794
-679.494252,499,13595.256965
-596.884443,499,13642.722
-501.780749,499,13690.15899
-591.677629,499,13737.850389
-631.457722,499,13785.191052
-607.820346,499,13833.761647
-623.732803,499,13881.625085
-499.328154,499,13929.299273
-595.966488,499,13976.74057
-540.17886,499,14024.276118
-617.422332,499,14072.867402
-482.763443,499,14120.395805
-541.766512,499,14167.969647
-613.573691,499,14215.401306
-478.733331,499,14263.111419
-530.213878,499,14315.007704
-499.806987,499,14362.631468
-636.615054,499,14410.065219
-561.866238,499,14457.423237
-536.582828,499,14505.060706
-665.994178,499,14553.651782
-603.298658,499,14601.17013
-552.539131,499,14648.924484
-454.129602,499,14696.381281
-626.327199,499,14743.892671
-575.140209,499,14792.586
-539.358972,499,14840.008023
-561.893361,499,14887.276813
-617.215736,499,14934.889453
-612.539721,499,14982.529639
-598.182805,499,15031.09477
-483.509841,499,15078.639244
-562.823788,499,15126.001574
-600.966194,499,15173.589152
