#{"t_start": 1685491336.1872916, "env_id": "quantumEnvMeasureFilter-v0"}
r,l,t
-420.778537,499,43.215219
-465.730686,499,91.629485
-451.344279,499,136.615947
-451.2174,499,181.132061
-424.383752,499,228.045608
-435.009174,499,336.169744
-433.357195,499,389.612678
-443.340541,499,440.82511
-366.252581,499,490.486843
-391.783551,499,544.792121
-443.962093,499,678.806504
-413.990896,499,733.840971
-461.740461,499,787.877516
-443.411719,499,849.82722
-482.764883,499,920.247505
-406.517433,499,1121.721178
-475.360155,499,1191.556781
-427.614662,499,1261.846105
-498.247652,499,1331.462004
-492.275367,499,1401.175002
-437.381095,499,1600.821461
-413.473399,499,1671.062197
-457.843484,499,1743.222557
-474.922431,499,1814.132209
-457.44754,499,1882.707178
-439.682531,499,2076.847062
-463.347403,499,2146.140926
-455.49268,499,2218.300775
-400.717537,499,2290.356642
-405.937119,499,2356.557785
-440.238023,499,2540.658284
-469.507812,499,2607.348116
-465.574581,499,2677.391359
-423.745244,499,2748.779633
-556.726387,499,2816.741879
-426.985598,499,2983.670578
-431.664184,499,3049.895736
-445.951948,499,3117.673585
-495.039357,499,3189.751473
-438.01754,499,3259.305636
-463.504799,499,3424.468454
-398.012915,499,3490.03747
-461.235868,499,3556.57379
-502.044101,499,3627.075316
-411.727505,499,3697.964792
-396.291199,499,3874.114909
-462.741299,499,3939.182928
-406.289188,499,4006.24118
-435.06817,499,4074.590209
-412.969286,499,4145.777241
-436.522297,499,4336.846036
-455.136007,499,4401.257307
-352.612659,499,4468.695559
-396.089793,499,4538.125243
-448.383173,499,4607.628714
-417.568469,499,4801.675169
-441.188396,499,4866.473376
-433.429735,499,4934.475036
-510.224986,499,5003.031362
-431.90941,499,5070.934042
-425.013069,499,5268.42163
-432.844699,499,5335.03249
-430.499434,499,5404.313409
-425.918877,499,5474.898761
-392.864497,499,5546.422881
-444.019958,499,5798.43549
-441.813647,499,5883.765273
-497.615723,499,5973.291419
-432.467196,499,6072.092535
-394.585168,499,6179.72148
-413.440829,499,6509.929714
-410.632993,499,6617.355974
-445.633681,499,6731.448942
-394.495864,499,6843.728502
-421.722096,499,6951.023731
-448.221476,499,7278.632272
-364.859349,499,7385.467413
-396.660343,499,7498.496954
-448.377126,499,7610.217373
-435.870296,499,7717.421657
-457.634765,499,8048.700784
-460.426106,499,8154.45027
-486.318093,499,8267.190481
-436.203262,499,8377.890529
-417.046789,499,8484.82504
-459.656561,499,8812.78818
-423.721391,499,8919.845925
-430.606506,499,9032.021579
-421.926993,499,9141.291887
-465.207243,499,9246.895378
-418.403927,499,9575.517967
-441.569507,499,9683.793511
-409.404336,499,9793.38282
-371.69576,499,9902.676072
-395.989761,499,10008.69399
-416.864459,499,10336.271097
-371.675028,499,10444.929097
-403.11966,499,10556.350358
-417.043024,499,10665.151639
-443.89545,499,10770.043347
-349.104328,499,11098.422322
-394.325019,499,11206.071632
-453.97587,499,11317.691422
-348.334795,499,11425.362605
-437.508054,499,11529.607416
-485.476563,499,11851.744979
-481.825179,499,11958.46093
-408.516275,499,12068.200018
-390.807357,499,12175.846698
-415.699218,499,12280.093802
-415.169771,499,12606.508821
-392.180775,499,12713.907053
-450.089429,499,12825.743421
-484.190194,499,12935.491063
-415.781995,499,13040.203313
-454.32648,499,13368.027459
-404.753361,499,13476.058641
-407.968013,499,13588.365181
-383.631757,499,13697.730344
-433.856456,499,13802.496093
-387.332125,499,14135.939118
-399.644058,499,14243.313786
-446.446274,499,14354.513674
-405.171623,499,14461.536982
-386.296889,499,14563.106054
-373.220755,499,14890.747715
-485.338566,499,14998.352444
-377.754681,499,15108.260619
-404.940376,499,15215.919546
-492.7768,499,15316.879414
-452.640428,499,15645.106776
-393.742501,499,15752.044619
-391.994798,499,15862.303053
-405.90796,499,15969.739119
-442.328802,499,16071.485402
-386.419063,499,16402.058503
-443.109893,499,16507.514608
-454.520099,499,16615.706927
-427.216772,499,16723.210609
-459.946739,499,16824.931058
-412.4329,499,17156.137559
-400.688752,499,17261.763617
-405.418655,499,17371.502889
-436.489133,499,17479.87636
-355.163349,499,17583.757684
-378.526511,499,17914.534349
-458.102852,499,18021.567561
-387.816987,499,18130.478595
-409.36112,499,18237.970128
-380.332349,499,18341.457844
-483.51809,499,18670.904997
-376.706779,499,18780.431373
-423.770666,499,18888.139183
-485.718637,499,18994.513808
-448.400726,499,19097.624694
-426.281849,499,19426.656804
-374.197925,499,19535.883664
-407.93589,499,19644.918232
-437.600256,499,19749.794342
-401.573558,499,19853.319554
-431.450522,499,20188.835501
-446.344111,499,20300.057686
-436.644563,499,20411.460654
-427.977383,499,20518.217204
-374.489187,499,20624.681912
-440.155443,499,20958.007212
-407.220061,499,21069.92164
-421.943061,499,21181.505237
-372.551189,499,21287.422833
-400.192112,499,21393.318168
-433.980408,499,21725.672873
-360.057613,499,21837.166877
-389.562256,499,21948.241108
-394.295968,499,22055.449834
-455.052106,499,22161.394575
-425.888393,499,22493.747745
