#{"t_start": 1685745017.597596, "env_id": "quantumEnvMeasureFilter-v0"}
r,l,t
-358.362382,499,115.664745
-412.97629,499,229.173097
-393.592925,499,343.002218
-409.747866,499,461.075461
-391.663642,499,588.666878
-356.57303,499,987.94729
-378.445069,499,1102.562238
-355.663784,499,1218.396417
-361.882919,499,1341.607446
-369.198206,499,1467.040051
-405.344629,499,1862.373273
-376.642666,499,1977.408622
-429.920995,499,2096.674861
-343.241789,499,2222.163643
-367.840024,499,2343.609475
-342.337776,499,2735.733501
-436.06317,499,2852.097236
-334.084136,499,2972.170405
-383.179374,499,3095.449042
-394.856215,499,3215.353274
-337.113779,499,3608.562005
-317.724625,499,3725.804646
-365.126964,499,3849.582041
-408.196941,499,3971.228753
-406.511061,499,4089.453648
-379.40309,499,4476.133918
-415.762866,499,4595.796126
-416.736692,499,4717.942306
-359.501691,499,4839.048458
-358.924392,499,4957.124258
-460.858076,499,5344.768862
-374.475204,499,5467.428249
-340.310247,499,5592.677901
-374.670253,499,5710.342016
-393.976908,499,5828.89217
-366.911438,499,6217.151805
-405.204143,499,6340.179533
-331.309164,499,6462.772778
-372.373871,499,6577.970385
-367.728715,499,6695.492766
-424.129359,499,7088.231997
-342.671187,499,7212.371431
-382.986242,499,7334.277935
-392.658558,499,7450.75009
-332.9457,499,7569.159009
-350.942743,499,7958.900064
-341.073742,499,8084.184471
-423.003085,499,8205.273075
-399.925248,499,8322.825991
-377.617784,499,8441.933516
-434.667849,499,8835.758527
-385.867407,499,8963.193409
-376.296014,499,9081.26114
-356.79065,499,9196.565876
-416.194307,499,9314.42343
-368.63378,499,9707.138077
-348.946356,499,9830.933101
-382.703742,499,9949.212436
-401.815055,499,10065.722548
-364.266622,499,10184.233872
-378.448397,499,10580.583632
-341.225632,499,10703.071081
-367.994173,499,10821.390192
-404.1236,499,10938.019406
-389.324425,499,11059.056544
-350.781331,499,11454.842587
-387.409403,499,11576.538162
-405.430008,499,11695.504489
-304.228381,499,11816.254736
-337.114052,499,11934.676118
-364.992183,499,12330.471398
-405.488667,499,12451.436315
-387.623156,499,12570.782409
-401.249986,499,12691.571115
-460.699757,499,12810.424542
-367.353349,499,13205.88111
-389.946069,499,13327.076889
-350.997877,499,13447.395392
-433.096638,499,13567.838688
-352.566188,499,13685.581757
-370.071382,499,14081.438766
-379.315185,499,14202.430763
-391.251885,499,14324.246906
-370.969716,499,14443.248255
-349.880385,499,14561.764707
-325.396431,499,14955.18611
-402.491993,499,15079.419429
-381.953425,499,15203.73756
-376.433282,499,15323.061908
-373.328689,499,15443.895851
-397.337458,499,15835.60512
-384.697699,499,15958.492131
-317.489225,499,16081.527809
-337.986225,499,16202.193869
-384.050436,499,16323.514273
-399.3847,499,16715.848457
-411.938443,499,16839.45897
-343.17618,499,16961.586377
-489.462418,499,17083.14368
-372.435627,499,17203.150666
-343.7397,499,17594.269115
-360.089205,499,17719.550523
-400.043066,499,17843.49775
-343.306347,499,17964.254761
-399.286811,499,18083.559127
-356.378276,499,18474.47915
-396.093449,499,18595.849127
-406.947502,499,18721.760341
-373.798749,499,18842.187755
-353.286318,499,18960.4287
-370.162496,499,19350.284312
-360.01272,499,19476.290738
-366.197265,499,19599.786801
-377.945946,499,19719.471437
-406.930244,499,19838.618976
-378.387231,499,20229.468784
-315.887618,499,20354.01429
-333.601477,499,20475.859582
-388.604902,499,20593.416245
-412.519822,499,20713.013017
-392.688685,499,21105.846965
-367.22648,499,21229.488666
-444.629179,499,21349.479778
-360.177981,499,21466.492757
-364.265711,499,21588.71136
-383.815748,499,21977.195899
-408.650601,499,22100.257673
-342.845692,499,22220.673909
-378.0368,499,22340.053702
-365.433372,499,22461.056664
-394.477931,499,22852.629005
-430.435398,499,22972.426118
-357.323534,499,23091.444577
-365.715204,499,23213.920558
-374.201207,499,23335.329573
-381.186777,499,23720.730145
-378.064962,499,23838.703321
-375.439236,499,23957.862303
-381.339008,499,24079.973934
-374.012667,499,24200.545404
-329.649591,499,24587.866074
-323.989796,499,24707.05247
-388.818721,499,24826.823736
-431.458773,499,24948.900738
-374.962306,499,25068.974715
-418.105665,499,25457.261322
-417.71115,499,25578.092935
-366.843109,499,25697.604573
-353.795099,499,25819.015707
-412.480863,499,25938.142997
-361.754818,499,26325.732671
-348.996399,499,26445.97009
-358.093708,499,26566.480598
-408.485239,499,26686.918979
-405.529801,499,26807.75334
-407.853653,499,27197.589907
-362.063766,499,27316.463745
-365.184401,499,27437.299832
-353.022675,499,27557.38413
-412.582838,499,27679.792657
-354.600307,499,28071.031832
-389.410954,499,28192.99495
-373.130317,499,28312.580945
-362.924942,499,28436.527072
-333.34251,499,28558.635591
-319.673673,499,28946.63601
-416.045995,499,29067.350101
-416.520803,499,29186.447658
-363.49069,499,29310.324496
-425.086597,499,29433.490695
-438.100875,499,29822.809721
-349.434104,499,29941.650853
-349.825696,499,30061.072469
-438.425106,499,30183.944847
-366.07736,499,30304.436756
-369.452608,499,30691.565624
-367.489058,499,30809.165438
-406.81728,499,30930.529079
-393.356518,499,31053.76148
-424.35729,499,31173.575558
-340.376377,499,31560.73307
-355.170161,499,31680.333567
-351.068041,499,31803.614578
-444.523625,499,31926.524215
-330.622512,499,32046.978907
-391.009861,499,32430.17245
-400.21065,499,32550.977017
-340.881783,499,32675.564513
-334.923254,499,32797.966636
-365.272264,499,32917.877052
-401.936814,499,33299.855489
-406.905131,499,33421.814399
-380.358619,499,33547.289808
-416.911078,499,33667.320479
-416.566622,499,33788.60165
-373.293061,499,34171.386903
-351.293388,499,34294.538889
-449.44122,499,34419.313025
-363.813233,499,34540.490233
-349.842846,499,34661.677815
-367.218519,499,35045.994975
-413.108956,499,35170.916766
-372.944996,499,35293.175597
-401.996717,499,35415.033162
-327.037294,499,35537.262569
-383.346475,499,35921.042933
-372.90678,499,36046.189374
-427.29479,499,36168.934583
-349.362247,499,36292.828705
-370.964063,499,36415.50901
-389.332787,499,36801.964906
-329.218646,499,36928.043402
-342.43212,499,37049.904785
-339.875698,499,37173.870408
-430.645448,499,37297.013547
-405.926176,499,37688.027668
-382.279165,499,37813.474699
-439.445487,499,37936.502433
-393.121611,499,38058.87615
-374.287762,499,38183.383562
-361.608233,499,38574.388556
-423.730281,499,38698.370238
-353.835524,499,38819.279689
-356.19606,499,38939.073069
-361.126536,499,39062.244501
-395.176182,499,39452.844313
-362.884499,499,39574.615198
-362.560349,499,39695.632523
-339.859664,499,39816.490504
-383.288195,499,39938.390558
-395.49088,499,40326.382997
-400.902225,499,40446.781394
-352.105086,499,40566.026012
-389.385413,499,40688.657497
-409.228925,499,40810.353085
-310.379092,499,41199.367207
-337.627223,499,41319.429666
-365.326667,499,41440.332554
-410.521214,499,41566.470774
-372.959562,499,41688.940021
-394.637446,499,42079.945848
-449.00568,499,42202.905773
-366.638076,499,42326.15404
-384.71328,499,42453.588593
-346.29811,499,42575.730964
-417.651548,499,42964.200971
-355.297923,499,43086.035472
-373.255985,499,43212.652916
-347.8445,499,43337.896583
-407.947761,499,43459.775155
-393.747079,499,43847.456787
-352.152676,499,43971.663141
-327.45313,499,44100.133711
-397.480502,499,44224.6384
-373.222835,499,44346.247055
-355.465315,499,44732.190721
-371.999674,499,44856.979076
-399.281929,499,44984.847629
-370.768009,499,45107.54459
-302.056664,499,45231.040084
-342.83974,499,45618.083009
-370.186394,499,45745.642378
-404.141561,499,45870.211807
-403.709087,499,45993.171233
-338.641429,499,46115.723824
-487.709704,499,46503.338139
-368.02913,499,46631.726775
-366.55908,499,46755.849068
-364.39367,499,46880.094229
-401.473302,499,47002.045117
-351.833279,499,47389.317511
-398.138081,499,47515.828691
-345.750709,499,47641.993735
-400.487268,499,47765.286714
-397.472678,499,47885.102199
-356.824286,499,48279.103551
-340.777713,499,48405.069877
-372.488011,499,48530.885754
-373.152637,499,48653.961571
-381.756194,499,48773.360554
-381.564419,499,49172.732479
-409.626499,499,49297.868541
-383.00723,499,49421.174651
-329.747393,499,49538.485007
-316.632242,499,49654.68942
-385.755239,499,50047.334466
-418.842292,499,50170.244791
-383.235769,499,50291.41729
-385.079349,499,50405.335361
-437.91004,499,50521.283774
-392.345159,499,50914.921883
-365.282428,499,51038.026676
-389.93353,499,51158.337215
-412.117443,499,51274.413323
-334.556994,499,51392.042888
-395.968798,499,51788.980276
-346.903973,499,51912.081526
-406.696346,499,52030.048948
-416.182981,499,52145.563875
-355.576866,499,52262.110456
-359.241205,499,52662.888583
-382.640897,499,52781.372798
-396.536036,499,52898.905319
-356.189647,499,53016.272049
-376.760287,499,53133.051831
-381.865529,499,53533.940965
-379.497564,499,53651.302273
-342.783684,499,53769.360314
-326.17674,499,53886.640173
-391.987068,499,54003.414884
-423.400563,499,54403.510367
-357.861648,499,54521.866157
-382.811047,499,54639.259325
-432.644183,499,54756.026663
-357.748933,499,54873.507782
-366.761876,499,55273.791215
-407.990855,499,55392.562322
-382.39322,499,55509.984508
-348.601864,499,55625.839255
-368.307256,499,55744.585853
-368.584657,499,56144.890286
-382.048335,499,56263.613972
-398.734394,499,56380.526474
-358.646131,499,56497.091537
-371.998451,499,56615.241392
-355.842,499,57014.433896
-406.980314,499,57133.325514
-370.051797,499,57250.444998
-368.646806,499,57369.509689
-385.065682,499,57491.631604
-362.928435,499,57891.090767
-320.50681,499,58010.860488
-319.934242,499,58128.854749
-410.609727,499,58248.58927
-406.988623,499,58372.047425
-359.316239,499,58770.861305
-434.659015,499,58889.789874
-429.891373,499,59008.060026
-347.174539,499,59129.674567
-372.174922,499,59253.579349
-430.306709,499,59652.824497
-352.934952,499,59770.687049
-375.433555,499,59888.826616
-369.262435,499,60011.690837
-397.339697,499,60136.895068
-375.268803,499,60531.398938
-409.676198,499,60649.578161
-330.439764,499,60770.073655
-368.208506,499,60893.101746
-345.865388,499,61017.171928
-436.803459,499,61409.340152
-330.430714,499,61527.968542
-386.300443,499,61648.639294
-375.271799,499,61771.905359
-359.885432,499,61897.775399
-329.589204,499,62286.437944
-361.024022,499,62405.392501
-391.390267,499,62527.070926
-407.31341,499,62653.346885
-374.398396,499,62781.415073
-403.394858,499,63171.445508
-419.8759,499,63288.684192
-372.438172,499,63407.294403
-342.900441,499,63531.036192
-444.651853,499,63654.381639
-373.072808,499,64041.298657
-351.739385,499,64158.633469
-369.049664,499,64277.938605
-411.751265,499,64400.904454
-370.758445,499,64524.163024
-396.483789,499,64908.012447
-328.665598,499,65025.702063
-366.124618,499,65146.479193
-363.006011,499,65269.201623
-419.291932,499,65391.95101
-369.929472,499,65775.737462
-391.375462,499,65892.971601
-387.168226,499,66013.529581
-315.28073,499,66136.356452
-329.74092,499,66256.967688
-342.233333,499,66642.220227
-417.66931,499,66759.451323
-400.973491,499,66880.111628
-363.320192,499,67001.560367
-439.686166,499,67123.690654
-388.493568,499,67506.849159
-361.845901,499,67625.828147
-355.487733,499,67746.8227
-420.077886,499,67868.960621
-381.740941,499,67993.183389
-355.302357,499,68376.522988
-381.178523,499,68493.518986
-384.329448,499,68613.067781
-376.950192,499,68736.462817
-372.873588,499,68859.80265
-334.994491,499,69243.609976
-368.208078,499,69362.559323
-377.102554,499,69480.654335
