#{"t_start": 1685892028.5400395, "env_id": "quantumEnvExp-v0"}
r,l,t
-241.192688,499,10.775673
-221.380602,499,21.097453
-238.98136,499,31.654613
-233.082046,499,42.070567
-206.922569,499,52.420995
-202.881293,499,64.032373
-222.154727,499,74.489916
-210.645559,499,85.00076
-210.691692,499,95.505315
-207.145175,499,106.225187
-204.880725,499,117.901722
-235.505297,499,128.347908
-189.90648,499,138.967305
-150.927365,499,149.463346
-177.187391,499,159.942868
-240.30982,499,171.414911
-175.369631,499,181.834191
-195.411274,499,192.275247
-239.446141,499,202.614245
-233.662529,499,213.07929
-177.207905,499,224.518899
-178.53165,499,234.929482
-178.079564,499,245.493764
-211.565694,499,256.01246
-146.243852,499,266.444118
-181.612627,499,278.328615
-202.392001,499,288.829461
-211.503211,499,299.289768
-145.615701,499,309.775227
-171.881919,499,320.325377
-216.806205,499,332.037028
-86.441134,499,342.444189
-185.225598,499,352.961476
-189.225834,499,363.503202
-215.28791,499,373.978226
-209.860438,499,385.622868
-169.807503,499,396.07638
-140.136999,499,406.492821
-207.259196,499,417.09911
-182.994857,499,427.405305
-153.266359,499,438.991205
-125.163272,499,449.59793
-152.754857,499,460.170533
-197.598613,499,470.658111
-203.335124,499,481.222868
-166.405875,499,492.900505
-135.00285,499,503.438112
-142.867362,499,513.860024
-117.229682,499,524.370841
-140.664788,499,534.835381
-166.46478,499,549.317911
-142.570813,499,560.444445
-124.642611,499,570.983019
-171.113499,499,581.904082
-176.688255,499,592.366954
-126.301757,499,604.237662
-106.278409,499,615.028165
-97.709958,499,625.502962
-160.974375,499,635.883614
-101.300848,499,646.308299
-132.802475,499,658.140945
-150.156378,499,668.763151
-125.960619,499,679.332043
-89.945241,499,689.766901
-97.595482,499,700.403901
-90.924237,499,712.245832
-93.001586,499,722.787038
-96.624457,499,733.427782
-113.719033,499,743.889292
-109.594925,499,754.354563
-98.056083,499,766.104664
-90.55828,499,776.735821
-108.680883,499,787.214525
-91.89134,499,797.700425
-92.43579,499,808.256582
-84.281672,499,820.059361
-108.860294,499,830.596979
-97.514913,499,841.142307
-79.540908,499,851.638677
-84.373594,499,862.140258
-103.033706,499,873.886397
-88.095027,499,884.482142
-87.963641,499,894.952223
-89.549482,499,905.496374
-69.142812,499,915.957624
-86.659933,499,927.6939
-110.522072,499,938.15512
-83.494633,499,948.594973
-68.919355,499,959.284954
-100.38372,499,969.808803
-86.189633,499,981.571752
-65.926501,499,992.099556
-90.795168,499,1002.603762
-68.132939,499,1013.190517
-79.154209,499,1023.788396
-82.52258,499,1035.714021
-51.465132,499,1046.24227
-96.593647,499,1056.930744
-59.658152,499,1067.422457
-77.505797,499,1077.880424
-78.872608,499,1092.502964
-91.419096,499,1103.108301
-81.452569,499,1113.59835
-70.780993,499,1124.209479
-64.700522,499,1134.742497
-80.992966,499,1146.454112
-95.171876,499,1156.775462
-61.933922,499,1167.262995
-66.930785,499,1177.861108
-82.948951,499,1188.539167
-67.911277,499,1200.381125
-68.892993,499,1210.890828
-71.732116,499,1221.339644
-79.016985,499,1231.790471
-69.811335,499,1242.356289
-68.311878,499,1254.058047
-69.428,499,1264.514842
-85.400524,499,1275.078282
-58.868669,499,1285.610485
-74.121579,499,1296.090248
-80.162674,499,1307.869578
-66.785974,499,1318.100686
-66.080094,499,1328.561302
-83.121628,499,1339.09901
-74.684392,499,1349.628056
-69.34631,499,1361.284828
-71.600979,499,1371.826122
-56.777234,499,1382.307412
-67.164833,499,1392.873823
-79.506672,499,1403.286481
-72.347745,499,1415.033214
-55.92263,499,1425.523812
-54.433044,499,1436.039644
-71.405133,499,1446.534425
-65.118116,499,1457.104138
-57.240167,499,1469.202759
-67.824149,499,1479.68485
-52.488596,499,1490.256319
-61.557449,499,1500.86092
-72.154444,499,1511.341938
-60.722889,499,1522.868257
-62.040344,499,1533.288287
-59.180006,499,1543.820711
-75.766481,499,1554.353426
-67.75465,499,1564.885412
-60.557254,499,1576.615835
-58.549065,499,1586.9738
-61.855812,499,1597.354967
-59.641038,499,1607.779048
-59.920571,499,1618.483823
-52.989819,499,1633.255229
-66.51799,499,1643.926521
-63.456035,499,1654.519732
-53.432076,499,1665.212871
-59.007445,499,1675.928368
-58.562837,499,1687.68061
-48.605752,499,1698.298877
-66.168995,499,1708.90255
-69.582246,499,1719.334608
-62.67714,499,1729.656862
-50.727665,499,1741.446144
-48.594833,499,1752.231363
-53.13193,499,1762.891842
-66.528675,499,1773.373064
-51.657646,499,1783.754153
-54.674842,499,1795.620712
-59.460131,499,1806.260208
-59.417947,499,1816.700853
-46.393012,499,1827.289129
-51.730229,499,1837.750102
-57.704934,499,1849.440512
-56.527991,499,1860.119387
-53.028641,499,1870.677862
-60.109268,499,1881.225827
-51.234476,499,1891.674332
-54.832381,499,1903.358363
-51.450864,499,1914.001987
-46.900317,499,1924.733644
-51.333995,499,1935.448507
-55.809033,499,1945.969707
-63.197698,499,1957.778779
-63.480293,499,1968.510113
-51.630302,499,1979.086846
-52.286506,499,1989.545176
-48.638974,499,2000.238024
-57.41815,499,2011.977535
-54.256142,499,2022.446641
-54.096385,499,2033.03739
-53.019202,499,2043.615801
-52.78985,499,2054.32936
-53.135208,499,2066.125571
-53.173641,499,2076.725869
-57.359898,499,2087.401039
-54.24548,499,2097.904835
-47.413183,499,2108.463592
-53.166525,499,2120.188256
-41.619796,499,2130.713641
-48.618246,499,2141.448885
-45.294232,499,2151.871697
-54.514634,499,2162.299329
-55.016101,499,2177.164654
-52.023678,499,2187.82609
-55.284289,499,2198.168186
-47.064211,499,2208.837106
-51.062444,499,2219.445281
-57.876128,499,2231.202784
-52.239086,499,2241.83524
-48.59713,499,2252.403034
-55.070597,499,2263.033994
-51.491613,499,2273.476226
-48.401522,499,2285.21581
-53.421134,499,2295.849794
-51.165251,499,2306.306916
-50.281444,499,2317.030164
-53.879054,499,2327.771862
-48.211811,499,2339.464324
-62.550854,499,2349.94951
-52.641657,499,2360.344023
-44.318231,499,2370.916669
-52.808614,499,2381.434098
-61.852679,499,2393.195241
-49.594088,499,2403.765968
-55.730297,499,2414.168519
-43.648014,499,2424.767923
-49.457415,499,2435.334285
-52.443503,499,2447.032754
-48.857239,499,2457.500535
-55.428859,499,2468.050253
-49.632934,499,2478.495476
-56.308317,499,2489.03601
-45.017642,499,2500.929662
-48.305124,499,2511.31754
-54.967006,499,2521.955069
-49.615696,499,2532.670729
-44.15939,499,2543.266699
-51.329549,499,2554.890079
-52.807177,499,2565.431577
-46.607403,499,2576.016036
-46.716661,499,2586.498025
-48.150994,499,2597.105594
-51.644208,499,2608.9494
-49.097841,499,2619.372983
-54.945893,499,2629.953861
-53.974223,499,2640.621125
-48.845992,499,2651.000199
-51.174247,499,2662.685034
-43.541879,499,2673.075561
-48.645056,499,2683.79003
-42.943395,499,2694.316837
-52.881114,499,2705.232023
-50.151259,499,2719.555898
-42.037532,499,2730.603569
-52.097103,499,2741.26171
-51.951059,499,2751.751249
-46.980039,499,2762.427568
-48.745113,499,2774.101583
-50.201713,499,2784.6536
-45.124643,499,2795.215066
-44.102342,499,2805.734357
-47.30182,499,2816.222828
-49.981736,499,2827.86696
-44.393634,499,2838.454268
-53.291375,499,2849.065955
-52.689122,499,2859.537377
-53.115968,499,2870.127253
-45.937088,499,2881.928752
-45.648995,499,2892.672133
-44.982096,499,2903.270433
-47.361868,499,2913.933378
-45.839957,499,2924.590531
-54.205988,499,2936.454813
-44.428081,499,2947.102321
-43.7441,499,2957.713291
-45.047668,499,2968.040544
-43.529119,499,2978.541817
-45.210691,499,2990.253078
-44.254117,499,3000.701779
-50.394526,499,3011.183957
-51.663296,499,3021.726332
-45.329547,499,3032.356426
-42.885408,499,3044.355192
-42.519895,499,3055.062574
-48.76188,499,3065.715745
-45.405152,499,3076.31652
-44.014164,499,3086.943072
-50.019378,499,3098.834135
-48.597133,499,3109.332514
-46.79806,499,3120.051179
-42.983409,499,3130.753985
-51.941602,499,3141.40815
-48.733747,499,3153.447925
-44.618682,499,3164.141772
-49.516826,499,3174.786096
-45.060656,499,3185.485464
-48.286548,499,3195.991611
-47.024939,499,3208.049488
-39.418368,499,3218.653648
-40.752071,499,3229.330226
-41.284805,499,3240.05328
-56.287362,499,3250.720887
-48.905171,499,3265.91869
-45.239915,499,3276.790655
-48.008124,499,3287.483774
-43.930551,499,3298.167664
-49.099027,499,3308.791425
-40.682468,499,3320.762803
-43.739964,499,3331.538741
-44.261835,499,3342.268662
-45.621185,499,3352.891235
-41.384978,499,3363.60758
-43.960485,499,3375.611153
-45.310803,499,3386.229017
-41.563896,499,3396.973697
-45.785925,499,3407.573231
-42.1619,499,3418.190625
-38.963404,499,3430.257631
-42.596506,499,3440.944128
-40.495577,499,3451.62246
-38.368749,499,3462.11847
-47.667727,499,3472.846092
-42.419975,499,3484.814173
-45.922301,499,3495.579523
-43.308476,499,3506.313054
-41.48763,499,3516.828135
-45.691278,499,3527.514675
-44.676471,499,3539.572711
-43.965884,499,3550.058672
-47.474189,499,3560.783178
-42.904433,499,3571.356948
-42.744986,499,3582.014153
-42.717514,499,3594.014479
-46.51463,499,3604.808204
-43.949344,499,3615.570015
-48.87101,499,3626.263015
-45.561265,499,3637.004998
-41.908396,499,3648.937889
-50.224161,499,3659.659685
-41.444054,499,3670.292655
-47.565827,499,3680.803224
-45.343255,499,3691.67448
-43.675747,499,3703.692543
-45.523953,499,3714.285864
-40.162128,499,3725.093524
-43.63582,499,3735.570422
-45.000984,499,3746.178174
-46.075999,499,3758.320821
-43.420478,499,3768.981844
-41.840207,499,3779.777842
-44.306862,499,3790.360094
-47.272545,499,3801.061837
-41.918914,499,3816.33342
-50.161358,499,3827.090215
-42.846952,499,3837.870629
-45.055268,499,3848.571126
-44.630711,499,3859.321437
-44.452445,499,3871.412387
-38.563024,499,3882.118451
-41.643151,499,3892.826063
-43.500562,499,3903.531141
-44.45187,499,3914.188953
-43.821385,499,3926.275522
-46.307888,499,3936.984766
-42.454295,499,3947.506357
-39.995342,499,3958.194448
-44.47117,499,3968.935719
-40.595389,499,3980.965051
-40.941892,499,3991.753834
-39.037417,499,4002.29102
-48.744065,499,4012.999074
-40.413867,499,4023.689981
-41.225303,499,4035.648334
-42.878821,499,4046.383015
-43.737661,499,4057.219856
-43.042759,499,4067.844962
-41.516077,499,4078.587368
-43.821472,499,4090.65803
-37.850248,499,4101.355639
-40.189593,499,4112.06579
-42.614676,499,4122.733052
-44.377079,499,4133.432476
-40.366806,499,4145.441606
-42.916429,499,4156.128465
-46.081543,499,4166.724503
-44.163745,499,4177.588501
-42.054201,499,4188.318928
-41.597307,499,4200.316441
-46.271324,499,4211.125002
-41.543467,499,4221.8537
-42.601171,499,4232.581411
-40.649375,499,4243.295706
-49.103783,499,4255.329092
-42.446197,499,4266.015133
-39.1639,499,4276.643388
-38.448338,499,4287.386761
-43.157979,499,4298.108443
-39.049981,499,4310.130711
-47.307127,499,4320.726447
-46.341426,499,4331.47887
-46.60268,499,4342.249784
-40.936066,499,4353.02279
-42.433263,499,4368.153547
-39.878318,499,4378.861784
-43.062308,499,4389.566954
-41.593415,499,4400.46931
-42.808428,499,4411.215648
-40.4307,499,4423.16151
-41.92857,499,4433.934873
-41.131394,499,4444.761054
-41.967355,499,4455.645337
-43.505748,499,4466.329176
-38.03291,499,4478.350314
-45.379384,499,4489.24133
-42.471916,499,4499.947317
-42.591268,499,4510.959948
-45.286834,499,4521.738032
-42.455522,499,4533.830776
-36.003788,499,4544.525336
-37.297645,499,4555.272664
-43.22917,499,4566.118924
-50.294778,499,4576.812755
-40.133464,499,4588.924064
-45.923645,499,4599.765486
-41.056833,499,4610.371093
-42.451275,499,4621.070341
-38.536518,499,4631.832172
-36.137583,499,4643.922162
-41.216799,499,4654.646495
-42.915373,499,4665.401575
-40.611485,499,4676.220036
-39.87376,499,4686.976415
-42.04763,499,4699.018269
-37.780823,499,4709.688966
-45.890883,499,4720.492786
-36.897782,499,4731.246455
-36.001755,499,4741.909873
-41.347817,499,4754.044327
-36.632255,499,4764.65435
-33.901157,499,4775.413816
-40.279343,499,4786.093698
-43.525061,499,4796.858812
-43.242338,499,4808.998422
-42.567882,499,4819.555365
-38.820947,499,4830.301055
-38.822572,499,4841.083575
-39.260554,499,4851.709201
-42.120464,499,4863.788859
-41.125889,499,4874.41227
-43.201584,499,4885.167029
-38.799925,499,4895.88669
-38.202834,499,4906.456419
-44.097544,499,4921.538589
-42.049972,499,4932.501203
-39.905352,499,4943.189101
-44.376483,499,4953.926486
-37.001929,499,4964.715787
-48.015182,499,4976.643145
-39.189039,499,4987.381098
-41.359097,499,4998.226779
-41.45594,499,5008.965041
-41.105264,499,5019.691446
-40.574319,499,5031.801546
-40.517142,499,5042.519566
-38.605949,499,5053.252453
-40.149878,499,5064.131034
-47.125085,499,5074.935193
-40.050714,499,5086.883201
-38.847423,499,5097.611207
-41.177957,499,5108.477718
-43.202799,499,5119.155926
-39.414192,499,5129.927539
-39.455735,499,5141.954513
-42.428676,499,5152.823418
-41.166469,499,5163.51842
-38.91829,499,5174.197446
-36.793951,499,5184.988039
-40.998309,499,5196.882012
-38.082745,499,5207.507162
-41.546229,499,5218.337365
-43.571807,499,5229.259924
-37.61681,499,5239.963789
-41.534858,499,5252.171194
-38.926297,499,5262.871234
-39.296334,499,5273.530966
-39.857703,499,5284.237272
-41.892229,499,5294.97311
-35.246485,499,5307.044444
-41.331322,499,5317.955698
-37.850393,499,5328.698818
-40.696199,499,5339.411152
-41.661034,499,5350.179867
-38.726682,499,5362.210263
-41.611227,499,5373.052363
-38.434809,499,5383.863849
-39.820453,499,5394.485068
-41.937875,499,5405.386744
-36.069906,499,5417.429068
-43.106667,499,5428.125437
-39.151687,499,5438.914948
-38.992807,499,5449.602749
-41.963466,499,5460.289033
-36.653028,499,5474.160738
-43.686595,499,5486.304133
-44.670658,499,5497.13513
-41.379398,499,5507.966547
-40.882756,499,5518.618514
-40.088056,499,5529.471713
-41.948556,499,5541.482497
-37.950969,499,5552.216707
-40.099053,499,5562.875618
-45.791124,499,5573.589655
-41.417445,499,5584.304382
-40.608679,499,5596.299308
-38.114091,499,5607.067159
-41.809569,499,5617.746587
-37.649136,499,5628.413532
-42.338201,499,5639.109549
-46.760095,499,5651.142807
