#{"t_start": 1686266236.9495184, "env_id": "quantumEnvExp_randomInitial-v0"}
r,l,t
-188.129734,499,6.875744
-212.890978,499,14.280978
-242.213137,499,21.312273
-237.990938,499,27.773653
-197.009737,499,34.365104
-236.014276,499,42.206156
-215.420916,499,48.901519
-245.427425,499,55.561021
-203.215147,499,62.349477
-162.445392,499,68.877995
-172.254952,499,76.607108
-245.722094,499,83.127348
-162.318896,499,89.850527
-227.398981,499,96.328366
-153.934522,499,102.813343
-222.635766,499,110.222689
-237.484559,499,116.672713
-188.925792,499,123.61308
-154.204213,499,130.215269
-204.731779,499,137.063097
-185.297425,499,144.451536
-125.74749,499,150.936938
-187.955344,499,157.501525
-215.671352,499,164.16959
-223.192338,499,170.965187
-186.946899,499,178.860242
-144.723793,499,185.364053
-123.955319,499,192.048755
-142.929448,499,198.985441
-202.055589,499,205.65913
-166.957324,499,213.369924
-181.076528,499,220.11911
-222.156094,499,226.885333
-194.381336,499,233.358936
-160.765082,499,240.095876
-155.860926,499,247.893599
-175.888983,499,254.338914
-215.641596,499,260.785803
-135.291879,499,267.555572
-181.678014,499,274.212436
-153.822994,499,281.723411
-221.317358,499,288.577175
-157.012793,499,295.014498
-143.556012,499,301.819242
-215.010882,499,308.844669
-150.063586,499,316.366199
-170.909976,499,322.913369
-183.103309,499,329.512748
-152.784609,499,335.977073
-161.865778,499,342.689854
-167.381788,499,352.837035
-135.16753,499,359.689276
-200.290053,499,366.57206
-179.033022,499,373.019748
-198.493112,499,379.576802
-154.10288,499,387.250351
-157.366992,499,393.711631
-168.06744,499,400.202995
-144.455857,499,406.847065
-153.497547,499,413.665834
-134.369875,499,421.34692
-184.951863,499,427.986388
-160.743962,499,434.504187
-107.479572,499,441.008166
-191.247141,499,447.603643
-149.188043,499,455.299248
-181.477732,499,461.901011
-144.36928,499,468.310034
-170.271673,499,474.768086
-92.460988,499,481.415204
-123.755294,499,489.029615
-180.148146,499,495.564352
-152.888268,499,503.196148
-172.757535,499,509.724433
-174.524675,499,516.279346
-172.731595,499,523.919163
-135.488289,499,530.858733
-151.917127,499,537.426185
-167.26483,499,544.096122
-149.776036,499,551.056583
-132.725052,499,558.707383
-182.546925,499,565.238078
-161.562303,499,571.823447
-129.702342,499,578.32783
-144.939922,499,584.924855
-137.258337,499,592.564386
-97.60592,499,599.539702
-148.078979,499,606.082139
-155.404024,499,612.802931
