#{"t_start": 1685893005.107089, "env_id": "quantumEnvMeasureFilter-v0"}
r,l,t
-537.899414,499,24.950951
-541.910896,499,49.680418
-556.680092,499,74.77761
-516.629302,499,99.540744
-602.227622,499,124.086002
-567.60755,499,149.682852
-530.356876,499,174.148863
-587.193672,499,198.556609
-539.336808,499,223.146725
-517.632805,499,248.13143
-605.582433,499,273.368572
-547.055288,499,297.687751
-556.691455,499,322.124389
-542.944471,499,347.354314
-587.794162,499,372.381246
-491.19714,499,397.795886
-553.724301,499,422.170177
-513.308535,499,446.631755
-548.776518,499,471.06872
-510.460754,499,495.685513
-512.061084,499,521.053998
-576.922297,499,546.432696
-530.718977,499,570.74029
-490.580662,499,595.5696
-525.0557,499,620.122227
-591.38095,499,645.359277
-530.146237,499,670.313676
-574.995636,499,694.909977
-598.104177,499,720.021927
-671.941217,499,744.718231
-504.01452,499,770.329221
-483.700708,499,794.67219
-628.15609,499,819.135348
-532.549303,499,844.178342
-492.517415,499,868.644718
-563.483595,499,894.12149
-616.117642,499,918.460952
-579.742715,499,942.911028
-633.606486,499,967.388674
-490.155243,499,991.770923
-533.022874,499,1016.892743
-536.721389,499,1041.764254
-612.762398,499,1066.092161
-529.500836,499,1090.834089
-522.658927,499,1115.114239
-607.447447,499,1140.852348
-491.9218,499,1165.459378
-513.127705,499,1189.889598
-542.559759,499,1214.254908
-590.092941,499,1239.065025
-547.658306,499,1266.652
-549.007491,499,1292.753299
-624.32426,499,1317.422706
-593.184138,499,1342.222391
-518.659179,499,1367.021968
-521.483589,499,1393.271346
-596.646051,499,1418.194821
-565.557192,499,1442.884748
-533.220484,499,1467.949871
-556.431447,499,1492.609127
-584.457093,499,1518.331372
-592.081406,499,1543.051825
-623.642354,499,1567.70336
-465.077133,499,1592.239475
-528.340504,499,1616.999876
-495.106917,499,1642.832607
-604.44454,499,1667.870328
-509.291697,499,1692.497337
-510.856788,499,1717.355396
-626.183063,499,1742.28303
-463.063034,499,1767.852638
-527.997994,499,1792.636437
-554.683962,499,1817.442322
-634.321557,499,1842.318275
-538.143254,499,1866.967183
-571.621325,499,1892.973826
-714.796827,499,1917.835878
-550.521056,499,1942.992506
-544.39119,499,1968.068411
-467.519817,499,1993.856076
