#{"t_start": 1686266956.1002753, "env_id": "quantumEnvMeasureFilter_randomInitial-v0"}
r,l,t
-595.444787,499,28.34151
-534.925499,499,56.363157
-503.831742,499,84.675237
-504.433832,499,112.85699
-569.731258,499,141.478039
-450.796041,499,171.08035
-636.840603,499,199.811578
-596.421776,499,228.016529
-521.666036,499,256.967665
-554.079411,499,285.345653
-588.535993,499,314.399557
-526.908069,499,342.910752
-526.584715,499,371.326364
-632.195412,499,399.95406
-475.696307,499,428.157534
-606.50898,499,457.782867
-445.32368,499,489.008311
-543.225829,499,518.441114
-581.728319,499,547.89595
-724.197795,499,578.399818
-468.218338,499,608.951799
-520.474655,499,638.901817
-574.630152,499,670.909202
-624.220357,499,701.743205
-535.538018,499,732.854403
-582.356848,499,763.891159
-510.698713,499,794.824816
-534.739547,499,824.873363
-608.096562,499,856.295797
-496.371438,499,887.986869
-589.973239,499,919.754066
-570.842111,499,950.210841
-641.306075,499,982.859341
-563.804041,499,1014.167789
-533.393706,499,1045.203319
-489.237388,499,1075.806869
-509.861656,499,1105.109282
-521.701591,499,1135.504364
-575.826953,499,1167.090486
-650.688735,499,1197.620739
-632.940437,499,1228.829754
-538.860124,499,1260.21388
-536.531068,499,1291.512304
-598.470471,499,1322.688813
-532.022876,499,1352.880593
-559.234197,499,1382.788055
-641.016729,499,1414.279439
-613.178327,499,1443.637346
-581.039315,499,1475.370258
-580.270337,499,1506.1428
-565.138699,499,1540.560933
-603.798293,499,1570.702448
-546.216362,499,1600.361437
-526.318644,499,1629.558534
-521.871345,499,1659.444972
-579.464962,499,1689.604846
-680.586942,499,1719.891302
-509.816959,499,1749.032569
-552.908986,499,1779.409662
-534.247567,499,1809.087382
-532.564992,499,1840.097007
-579.436846,499,1869.450839
-583.568602,499,1901.236477
-520.776066,499,1930.964943
-573.85113,499,1960.776576
-592.738642,499,1990.36687
-654.463201,499,2020.492126
-481.155219,499,2050.529753
-647.13125,499,2080.72639
-601.495458,499,2110.044913
-537.955356,499,2141.150971
-480.194605,499,2170.512609
-598.912398,499,2200.606871
-528.052036,499,2229.607849
-548.84147,499,2258.723232
-521.497037,499,2289.010916
-476.345689,499,2318.329108
-514.045658,499,2348.163749
-565.838617,499,2377.840311
-495.835985,499,2407.793062
-476.328967,499,2439.586967
-566.466744,499,2468.851578
-469.156868,499,2498.580985
-515.626347,499,2528.426245
-477.162176,499,2557.391077
-506.038868,499,2587.722182
-563.214619,499,2616.784164
-484.146987,499,2646.144724
-592.431305,499,2675.157688
-620.115304,499,2704.839295
-586.557067,499,2734.653667
-592.296755,499,2764.236207
-593.862588,499,2793.905094
-501.627605,499,2822.513257
-568.82492,499,2851.680542
-540.821259,499,2882.026556
-526.147602,499,2910.774583
-598.868215,499,2939.456549
-537.028219,499,2968.437359
-517.972475,499,2998.070709
-502.607456,499,3031.283834
-563.690031,499,3060.473044
-635.038515,499,3089.688926
-586.198277,499,3118.454291
-579.939082,499,3147.188107
-572.240286,499,3176.953056
-571.634967,499,3205.998804
-545.469399,499,3235.067984
-547.597714,499,3263.985331
-604.146576,499,3293.171122
-547.586691,499,3323.210624
-446.284666,499,3351.991826
-493.056171,499,3380.854106
-600.259425,499,3409.817038
-563.220567,499,3438.606019
-646.818853,499,3468.319529
-555.079353,499,3496.879475
-583.95312,499,3525.491485
-490.101066,499,3554.219204
-587.243591,499,3582.820862
-531.015033,499,3612.649128
-569.095445,499,3641.47894
-559.830677,499,3670.614137
-593.066481,499,3699.407029
-485.062242,499,3728.033106
-590.243856,499,3758.068842
-596.30742,499,3786.970349
-610.630258,499,3815.528325
-634.001204,499,3844.545287
-541.760696,499,3873.132467
-469.545918,499,3902.62355
-492.173073,499,3931.301226
-380.284962,499,3960.04649
-558.775641,499,3988.659659
-465.832131,499,4017.29663
-568.315458,499,4046.790177
-492.366402,499,4075.364064
-497.617973,499,4103.933408
-524.584709,499,4132.493173
-499.449224,499,4161.378126
-605.047066,499,4191.094341
-630.551927,499,4219.93828
-520.418823,499,4248.508026
-567.736752,499,4277.164311
-587.473305,499,4306.297203
-489.492978,499,4335.932515
-576.301389,499,4364.672709
-599.37705,499,4393.296472
-541.019298,499,4422.157406
-552.017881,499,4451.287518
-546.587542,499,4483.010843
-504.391284,499,4512.023266
-618.028913,499,4541.137331
-605.947644,499,4570.77309
-537.534163,499,4599.751252
-507.976084,499,4630.255349
-538.645031,499,4659.288936
-556.242993,499,4688.707508
-581.889586,499,4717.958496
-526.973628,499,4747.254709
-506.165653,499,4777.27666
-576.059232,499,4806.268238
-471.289257,499,4835.868337
-527.844395,499,4865.059803
-508.623046,499,4893.9046
-498.12862,499,4924.207687
-449.205693,499,4953.801835
-522.062606,499,4983.245809
-609.726798,499,5013.919721
-520.606006,499,5043.330848
-567.523934,499,5073.308759
-532.197781,499,5102.349162
-617.567121,499,5131.956668
-651.256964,499,5161.151916
-527.182962,499,5190.327453
-585.830581,499,5220.888977
-587.059543,499,5249.935587
-608.873017,499,5279.528523
-655.72076,499,5308.936228
-536.73584,499,5338.143475
-484.060284,499,5367.862727
-545.165569,499,5396.802439
-481.753485,499,5425.826125
-530.117812,499,5455.428653
-479.630228,499,5484.556852
-637.273952,499,5514.257396
-542.376868,499,5543.119462
-682.245133,499,5572.232555
-495.644141,499,5601.140162
-440.698425,499,5630.105295
-549.112038,499,5659.933779
-524.242244,499,5688.770801
-545.125483,499,5717.557922
-540.766729,499,5746.354631
-489.247975,499,5775.943907
-521.035045,499,5806.250748
-454.096339,499,5835.087154
-526.754817,499,5864.499068
-667.76059,499,5894.282916
-549.828502,499,5924.568022
-598.235451,499,5957.691738
-521.368075,499,5986.663265
-601.068031,499,6015.492389
-577.678247,499,6044.66253
-466.76251,499,6073.976126
-539.804698,499,6104.254287
-664.441889,499,6133.684622
-621.999809,499,6162.838947
-616.708668,499,6193.183774
-536.281506,499,6222.231342
-548.302304,499,6254.068355
-553.333688,499,6283.524399
-548.427307,499,6314.047044
-524.300475,499,6342.828328
-618.116379,499,6372.094747
-551.961872,499,6402.183596
-469.343044,499,6430.915591
-467.615345,499,6459.968216
-489.158684,499,6488.840019
-523.959317,499,6517.518699
-546.230491,499,6547.49829
-540.618366,499,6576.200369
-584.539417,499,6607.167407
-584.423474,499,6637.186786
-471.317868,499,6665.974654
-551.675916,499,6696.247139
-544.170827,499,6726.778076
-636.063812,499,6756.437752
-479.696626,499,6786.319354
-526.185326,499,6816.141728
-588.238628,499,6846.333396
-520.81638,499,6875.183343
-516.342756,499,6903.822592
-452.983735,499,6933.485077
-510.323811,499,6962.781155
