#{"t_start": 1691182208.638745, "env_id": "quantumNonlinearEnvSMEExpEN-v0"}
r,l,t
-354.43626,499,82.793364
-335.295603,499,175.636915
-333.689401,499,269.725684
-343.695324,499,362.360566
-338.625336,499,455.784218
-338.401499,499,548.995209
-347.723596,499,642.487884
-357.878865,499,735.247675
-324.028773,499,828.357232
-337.148686,499,920.877792
-320.331204,499,1014.200636
-341.6621,499,1107.151985
-348.49887,499,1200.133154
-317.400352,499,1290.897926
-324.610554,499,1377.467541
-335.341372,499,1465.720358
-346.712624,499,1545.571706
-348.984159,499,1630.003207
-356.623955,499,1716.892257
-345.302052,499,1803.679697
-351.409005,499,1891.966992
-353.02487,499,1978.55186
-316.585484,499,2066.671953
-333.689592,499,2154.022087
-350.174665,499,2241.035901
-346.98874,499,2328.047533
-337.292699,499,2419.279932
-352.476186,499,2512.116829
-330.92382,499,2604.933666
-348.830251,499,2697.07976
-340.533137,499,2789.697783
-351.450696,499,2881.630764
-343.008448,499,2974.088322
-343.636438,499,3066.793546
-358.580978,499,3158.96485
-353.623272,499,3251.119242
-329.367475,499,3344.156151
-309.774196,499,3437.292681
-339.308764,499,3529.874325
-341.328011,499,3622.765263
-278.542881,499,3716.080937
-298.11056,499,3810.991006
-352.980884,499,3904.005055
-346.376862,499,3995.616789
-338.177219,499,4088.955495
-345.735622,499,4182.372059
-337.733385,499,4274.033922
-339.760824,499,4366.000449
-320.455338,499,4459.576079
-357.171325,499,4552.262598
-352.568351,499,4642.887643
-352.753862,499,4727.756154
-315.041787,499,4819.957405
-354.834101,499,4911.87602
-326.143422,499,5005.962334
-352.886716,499,5099.159056
-327.527969,499,5191.883016
-336.285599,499,5286.120083
-342.539947,499,5379.402292
-333.315901,499,5473.103208
-312.474977,499,5567.169541
-358.623406,499,5659.271527
-341.135486,499,5752.490008
-333.726802,499,5845.005376
-342.100902,499,5938.422877
-344.501415,499,6031.844268
-300.921662,499,6124.389782
-289.370638,499,6217.928902
-339.00236,499,6311.186942
-354.083729,499,6403.094657
-336.614943,499,6495.137251
-269.695521,499,6588.465229
-346.930655,499,6680.520722
-352.200311,499,6773.677893
-337.321228,499,6866.886191
-318.866349,499,6962.023435
-317.850462,499,7060.052397
-341.451021,499,7155.72848
-349.438787,499,7250.349288
-339.539555,499,7345.456475
-345.538664,499,7440.093788
-343.091165,499,7535.19395
-354.643813,499,7629.74129
-359.515275,499,7717.847591
-325.663307,499,7811.187568
-310.948869,499,7901.24996
-336.760785,499,7987.343057
-350.544155,499,8078.682556
-348.792948,499,8171.07223
-358.605014,499,8263.16385
-333.436676,499,8356.996723
-325.025681,499,8450.162315
-352.184319,499,8542.764865
-351.638452,499,8635.544047
-338.269777,499,8727.47095
-350.252379,499,8820.218267
-327.921864,499,8914.011254
-358.341727,499,9007.178867
-351.735268,499,9100.470987
-345.339692,499,9193.855646
-357.850434,499,9287.848416
-316.45428,499,9381.148095
-351.899054,499,9475.44663
-353.600839,499,9569.038421
-339.960287,499,9662.716418
-345.160725,499,9756.777614
-301.042229,499,9851.310727
-338.095996,499,9944.670392
-339.234042,499,10038.063929
-349.538818,499,10131.234371
-353.615369,499,10224.682519
-350.31134,499,10317.52307
-338.446788,499,10411.600635
-354.317154,499,10503.69562
-334.846929,499,10596.726863
-325.245701,499,10690.563796
-352.217391,499,10783.124241
-350.474005,499,10875.515557
-342.932965,499,10967.90229
-301.654067,499,11061.315223
-339.238976,499,11146.498708
-321.075582,499,11236.57145
-358.782,499,11327.630495
-353.251346,499,11419.770753
-353.858442,499,11512.132601
-345.440981,499,11603.97082
-335.050562,499,11697.06579
-352.003551,499,11789.014922
-346.907603,499,11882.375462
-349.707425,499,11975.228951
-351.251168,499,12067.820649
-333.292001,499,12161.273616
-346.060226,499,12255.514186
-327.572911,499,12349.715806
-328.38443,499,12443.692146
-341.431498,499,12538.04941
-357.16244,499,12631.45613
-350.499923,499,12724.537201
-318.797468,499,12818.074152
-344.01847,499,12911.77059
-349.602362,499,13005.0889
-357.147398,499,13098.673753
-336.90644,499,13192.583272
-280.291126,499,13286.714947
-325.682845,499,13380.083002
-336.71735,499,13473.837705
-347.780312,499,13567.421705
-330.01899,499,13660.736326
-342.088498,499,13753.989103
-332.853745,499,13846.570966
-342.570023,499,13940.077411
-352.380755,499,14032.286
-358.427073,499,14122.669298
-336.246558,499,14208.949839
-348.408366,499,14292.822005
-346.808242,499,14382.347063
-332.763773,499,14474.676494
-293.02833,499,14567.772288
-316.866593,499,14659.9125
-354.425836,499,14751.220524
-343.518165,499,14843.241936
-301.482797,499,14936.259491
-351.553661,499,15027.846337
-352.903882,499,15119.745132
-342.617497,499,15211.714744
-334.238439,499,15304.984137
-342.606642,499,15397.105866
-283.197791,499,15490.016782
-337.453123,499,15582.484828
-351.967984,499,15675.383547
-320.196484,499,15768.500961
-280.986474,499,15861.945582
-348.866488,499,15953.780589
-324.941081,499,16046.156268
-341.710454,499,16138.738059
-353.454748,499,16230.811958
-346.230909,499,16323.045934
-352.774242,499,16415.255943
-346.635955,499,16507.652997
-311.315278,499,16599.993859
-318.546207,499,16693.458985
-330.647566,499,16785.7463
-345.994423,499,16877.564586
-333.240167,499,16969.462981
-339.538994,499,17061.509382
-352.024612,499,17153.21751
-304.034987,499,17245.410239
-336.214879,499,17338.01459
-328.418193,499,17429.244111
-357.588578,499,17513.89477
-344.61116,499,17605.490558
-342.702595,499,17698.055245
-347.086464,499,17790.606928
-329.853455,499,17883.415201
-339.186567,499,17976.122284
-333.306324,499,18070.050311
-337.76616,499,18162.499789
-338.320519,499,18254.805138
-344.95625,499,18346.66101
-350.381528,499,18438.236409
-349.166151,499,18532.688008
-331.915022,499,18625.011984
-326.510303,499,18717.584787
-347.068265,499,18809.305561
-345.994152,499,18901.062034
-321.445573,499,18992.997513
-317.873177,499,19085.868882
-330.576414,499,19179.126417
-350.866942,499,19271.520447
-333.243925,499,19363.899202
-350.443398,499,19456.852866
-342.526252,499,19549.034781
-283.266375,499,19641.258494
-348.676546,499,19733.604573
-349.204322,499,19826.162976
-340.861694,499,19919.88795
-338.356455,499,20011.813721
-324.352914,499,20104.915079
-352.913495,499,20197.358149
-292.313834,499,20290.297694
-286.717554,499,20382.804796
-355.071072,499,20475.590413
-348.437536,499,20567.798976
-354.127942,499,20656.311535
-301.35968,499,20744.936082
-334.077272,499,20838.234786
-349.301126,499,20931.495134
-342.582762,499,21024.484658
-333.36288,499,21117.171683
-331.812345,499,21210.204042
-337.396867,499,21303.810542
-351.980425,499,21396.840931
-327.43317,499,21491.291965
-265.236672,499,21587.774193
-343.373441,499,21685.324057
-335.933506,499,21779.8614
-317.059959,499,21874.573187
-351.634782,499,21967.874861
-353.248011,499,22061.601769
-264.517173,499,22155.282816
-350.392205,499,22250.266419
-345.589113,499,22343.242225
-324.696423,499,22436.329005
-328.056737,499,22529.322203
-343.839347,499,22623.089708
-356.804077,499,22715.316899
-324.743951,499,22809.044154
-350.249282,499,22902.176345
-328.414768,499,22996.691542
-355.933471,499,23088.470265
-350.627309,499,23181.565532
-336.300078,499,23274.830058
-331.972298,499,23367.728686
-348.115774,499,23458.120808
-342.813936,499,23548.073676
-337.090265,499,23639.571218
-307.551682,499,23727.26893
-263.522454,499,23814.100268
-337.291082,499,23895.359673
-334.706916,499,23981.817735
-331.624744,499,24069.568084
-315.851239,499,24156.926622
-349.2125,499,24243.707811
-338.207745,499,24329.774312
-308.237627,499,24417.659993
-337.319047,499,24504.576005
-315.131404,499,24590.845447
-320.860568,499,24677.212329
-330.087255,499,24763.532708
-323.440537,499,24850.362498
-306.365279,499,24938.214624
-301.444936,499,25025.529913
-266.772654,499,25113.129142
-297.382845,499,25200.953989
-274.59671,499,25288.70221
-289.564857,499,25376.524978
-324.933696,499,25463.487802
-338.181453,499,25550.921284
-347.621834,499,25638.521664
-264.913483,499,25726.253778
-311.380495,499,25813.728866
-307.406939,499,25901.501304
-286.207074,499,25989.383425
-259.652468,499,26076.786566
-298.462189,499,26165.376824
-312.526281,499,26253.409077
-236.809838,499,26340.969935
-253.778432,499,26428.505988
-267.845279,499,26516.013105
-277.082168,499,26602.788271
-238.02427,499,26690.09149
-275.640211,499,26775.255867
-275.858549,499,26858.426926
-258.389172,499,26942.848443
-308.020924,499,27030.114095
-276.070958,499,27117.712164
-266.979804,499,27205.36841
-290.346341,499,27292.250635
-245.713621,499,27379.815401
-270.510889,499,27467.246123
-236.877715,499,27557.210238
-240.581615,499,27644.709093
-234.899076,499,27732.444866
-238.446252,499,27820.216808
-226.746912,499,27908.317116
-206.914116,499,27996.095612
-195.741487,499,28083.219967
-183.493966,499,28170.83726
-232.410461,499,28258.309068
-210.381314,499,28345.541071
-237.039882,499,28433.329021
-284.571715,499,28521.067792
-245.752423,499,28609.155175
-259.646425,499,28696.466284
-226.898034,499,28784.548279
-236.545624,499,28873.089376
-159.822387,499,28961.422087
-194.801853,499,29049.186132
-225.821886,499,29137.375655
-214.90519,499,29224.736006
-189.643926,499,29312.588421
-215.473012,499,29399.579521
-196.785111,499,29486.897528
-173.247034,499,29574.20309
-172.976807,499,29660.275373
-217.850049,499,29743.479408
-262.033004,499,29822.179875
-195.625484,499,29904.878893
-189.447873,499,29992.311728
-170.465117,499,30080.178799
-182.675224,499,30168.814775
-176.213411,499,30256.198208
-157.727638,499,30343.320448
-161.809754,499,30430.623879
-163.753135,499,30517.004636
-176.337808,499,30603.778452
-181.370569,499,30690.60313
-173.136969,499,30777.600464
-176.643119,499,30864.87904
-162.353278,499,30952.801399
-171.964111,499,31040.02907
-165.361867,499,31128.024592
-179.293233,499,31215.220406
-182.420518,499,31302.817997
-173.42614,499,31389.413379
-216.290446,499,31477.618377
-164.044137,499,31564.093303
-188.105083,499,31651.962245
-180.146753,499,31738.251102
-210.055638,499,31825.518021
-184.776096,499,31912.427905
-163.761731,499,32000.525949
-161.700383,499,32087.83831
-183.809124,499,32175.132713
-190.364006,499,32262.073929
-184.966009,499,32349.419265
-181.40955,499,32436.534479
-178.736364,499,32523.800745
-164.79276,499,32610.483596
-228.996055,499,32697.466223
-167.419727,499,32783.882388
-179.838441,499,32866.503271
-184.001411,499,32950.679067
-179.086242,499,33037.639695
-185.037892,499,33129.280229
-169.129345,499,33223.078516
-145.042961,499,33317.422096
-150.909094,499,33411.399475
-152.556242,499,33506.357682
-193.996863,499,33600.664267
-177.956645,499,33697.003819
-175.279982,499,33792.776152
-176.400201,499,33886.847356
-145.657153,499,33980.112807
-187.282963,499,34073.903623
-144.049313,499,34168.432292
-145.472451,499,34262.311873
-174.090982,499,34358.249936
-157.793897,499,34452.561619
-165.046914,499,34546.64267
-156.81455,499,34640.582254
-161.115803,499,34734.393654
-179.553153,499,34828.850811
-180.350187,499,34924.088226
-168.386265,499,35019.701796
-156.869101,499,35113.666558
-168.707376,499,35206.420599
-177.413048,499,35299.237018
-189.864924,499,35391.535909
-146.797008,499,35483.743651
-166.949402,499,35577.386023
-173.332076,499,35670.090867
-166.246832,499,35762.037727
-172.408997,499,35854.437071
-144.595433,499,35947.16352
-162.483476,499,36040.002536
-179.523595,499,36126.668915
-183.900421,499,36219.232952
-198.293546,499,36312.131014
-141.7672,499,36405.934078
-142.002317,499,36500.767292
-146.231896,499,36593.353825
-202.820579,499,36687.463056
-136.460144,499,36781.690079
-168.466163,499,36875.273332
-165.153029,499,36969.794615
-144.167249,499,37063.279367
-174.058644,499,37157.083126
-161.849251,499,37250.679499
-201.000167,499,37344.582865
-164.983119,499,37437.97328
-151.710422,499,37531.328605
-149.810249,499,37625.350119
-152.003829,499,37718.970631
-155.229852,499,37812.610142
-131.560845,499,37906.243797
-139.153907,499,38000.206661
-168.415142,499,38093.613126
-130.850398,499,38187.752758
-156.352095,499,38281.118081
-190.243037,499,38376.161098
-128.793775,499,38469.317503
-144.046915,499,38562.943816
-152.527009,499,38656.434005
-177.276985,499,38749.844387
-159.213441,499,38843.488365
-161.630103,499,38937.010835
-161.369261,499,39031.30851
-147.26303,499,39124.000798
-152.609963,499,39217.285437
-149.734506,499,39304.755377
-153.602222,499,39397.393979
-160.562695,499,39490.976715
-164.2236,499,39584.80048
-151.577191,499,39677.827353
-133.502682,499,39771.958276
-150.022681,499,39865.074514
-154.463682,499,39959.23659
-140.920524,499,40052.502329
-163.866221,499,40146.123012
-206.522325,499,40239.498874
-146.191647,499,40333.071604
-150.365804,499,40426.639199
-167.452395,499,40520.724119
-140.784676,499,40614.761256
-144.187934,499,40708.322887
-195.942887,499,40802.231133
-184.460885,499,40896.443452
-148.71085,499,40990.294524
-166.41127,499,41083.936398
-156.448431,499,41178.719831
-154.747698,499,41272.662925
-181.678566,499,41366.747673
-148.255898,499,41460.155573
-164.174703,499,41554.574821
-176.926779,499,41647.461887
-159.43707,499,41740.48106
-144.715094,499,41833.361147
-151.287316,499,41926.93099
-146.338151,499,42020.126694
-149.91489,499,42113.155447
-214.719498,499,42205.765356
-180.881043,499,42298.65186
-156.309126,499,42391.761799
-163.962429,499,42480.536569
-153.46157,499,42573.206932
-182.125477,499,42667.014468
-176.102146,499,42761.39514
-153.211031,499,42855.848132
-162.15272,499,42950.349846
-140.316837,499,43044.443941
-138.438677,499,43137.972512
-165.231551,499,43231.50154
-151.993834,499,43324.409069
-149.359574,499,43418.595998
-161.298709,499,43511.989259
-141.653953,499,43605.494994
-179.177896,499,43699.463737
-185.51797,499,43793.853656
-142.145383,499,43887.454818
-167.31731,499,43983.095843
-147.809709,499,44077.390611
-171.884516,499,44171.795899
-186.98657,499,44265.875472
-149.740392,499,44359.236124
-158.568088,499,44453.325454
-190.846287,499,44546.308972
-158.510724,499,44641.011262
-164.519927,499,44734.550283
-161.037994,499,44828.33464
-168.091227,499,44921.550129
-140.367179,499,45015.19557
-138.400136,499,45109.155347
-192.977144,499,45202.898859
-147.300125,499,45296.442514
-172.028393,499,45391.014978
-151.395806,499,45483.295082
-143.421094,499,45569.300124
-144.475545,499,45659.814917
-143.996904,499,45753.739285
-166.718174,499,45849.496732
-168.01509,499,45942.924506
-140.36123,499,46037.077896
-173.582801,499,46129.658598
-148.767427,499,46222.343344
-162.466065,499,46314.653068
-162.292867,499,46407.232829
-156.564409,499,46499.787675
-177.686781,499,46592.146097
-154.931222,499,46684.613709
-154.003522,499,46777.369545
-141.006475,499,46871.035632
-157.639181,499,46958.090036
-168.120237,499,47051.248827
-142.782541,499,47144.416599
-127.803137,499,47238.179038
-169.1342,499,47331.83886
-168.9319,499,47425.850281
-133.590012,499,47519.464823
-161.332333,499,47613.259705
-148.272264,499,47706.881864
-192.584455,499,47800.00966
-173.161298,499,47893.643913
-171.158668,499,47986.909389
-145.704272,499,48080.022985
-151.709956,499,48171.503516
-137.5325,499,48263.203388
-169.845112,499,48353.085501
-172.42711,499,48446.626995
-149.334801,499,48540.207633
-162.621773,499,48633.501307
