#{"t_start": 1691621918.5563638, "env_id": "quantumNonlinearEnvSMEExpPn-v0"}
r,l,t
-1035.755871,499,92.37238
-1037.064538,499,213.912698
-1040.424489,499,336.936513
-1042.190282,499,459.943159
-1035.895686,499,580.292948
-1013.731081,499,720.101121
-1039.778014,499,844.158459
-1041.591575,499,968.224816
-1042.483463,499,1091.476608
-1000.964911,499,1210.9075
-1013.066884,499,1351.248906
-1037.887326,499,1474.811138
-1034.172929,499,1599.092632
-1017.568559,499,1721.660766
-1034.856986,499,1843.800561
-1041.825041,499,1988.259967
-1042.794852,499,2113.371
-1041.112791,499,2238.536101
-1037.267162,499,2362.268064
-1041.634836,499,2481.411662
-1032.877832,499,2627.800584
-1042.520144,499,2754.29242
-1007.919591,499,2881.914157
-1043.475215,499,3004.754419
-1034.008695,499,3124.488135
-1037.688753,499,3270.303401
-1043.472829,499,3396.129015
-1038.920863,499,3521.632673
-1023.018186,499,3644.605875
-1039.706975,499,3763.296022
-1043.163203,499,3910.203224
-1042.001002,499,4036.123447
-1042.225917,499,4160.813818
-1032.775992,499,4279.765358
-1033.819329,499,4404.439081
-1035.068367,499,4548.29694
-1039.210138,499,4674.63717
-1035.539364,499,4797.99004
-1012.414789,499,4917.643169
-1037.660667,499,5040.051996
-1027.718432,499,5186.828809
-990.880961,499,5314.843765
-1038.666328,499,5438.994544
-1042.499751,499,5557.739122
-1043.3847,499,5680.34477
-1042.562933,499,5823.120255
-1024.682891,499,5948.721724
-1040.433901,499,6068.150186
-985.340207,499,6191.196294
-1041.735389,499,6312.653776
-1038.437478,499,6458.36308
-1039.081537,499,6579.376931
-1037.490716,499,6699.441322
-1041.88145,499,6822.314396
-1042.635998,499,6944.217726
-1040.914615,499,7085.406741
-1022.904442,499,7209.764136
-1029.466084,499,7330.445018
-1037.604666,499,7454.680166
-1024.060045,499,7577.826847
-1015.750381,499,7718.735135
-1040.684163,499,7842.62876
-1041.090582,499,7961.738208
-1042.803581,499,8084.437018
-1038.802739,499,8204.940419
-1033.012686,499,8348.720625
-1034.890229,499,8471.615423
-1012.185923,499,8593.610828
-1041.56911,499,8719.039931
-1042.154741,499,8839.979588
-1036.820306,499,8981.738356
-1031.689468,499,9103.519246
-1027.628881,499,9226.99444
-1043.185063,499,9351.267545
-1042.64076,499,9471.847839
-1039.784609,499,9614.54326
-1037.017948,499,9736.80954
-1031.266743,499,9859.49204
-1026.731665,499,9983.454763
-1036.095524,499,10102.917598
-1031.36641,499,10247.712471
-1027.244644,499,10371.795372
-1022.878535,499,10494.886167
-1041.336265,499,10619.069292
