#{"t_start": 1687878384.5579455, "env_id": "quantum_nonlinear_obser_EN-v0"}
r,l,t
-342.155888,499,236.915296
-341.12368,499,462.696109
-332.409215,499,696.960332
-351.273024,499,947.019367
-320.041508,499,1206.6586
-323.343604,499,1440.136594
-328.784268,499,1684.803972
-295.89599,499,1921.823121
-337.476846,499,2120.429619
-342.673344,499,2321.545969
-311.811526,499,2522.672972
-315.826223,499,2727.614855
-309.546106,499,2928.278348
-326.602568,499,3136.462991
-326.434711,499,3338.615129
-324.612869,499,3540.504191
-346.465394,499,3748.810345
-335.215286,499,3950.870562
-335.144384,499,4154.49547
-350.176717,499,4353.70849
-281.360776,499,4556.33656
-324.068324,499,4749.371546
-324.824631,499,4942.186741
-346.352467,499,5138.372221
-343.314134,499,5377.528629
-282.764799,499,5625.031898
-339.074295,499,5880.327935
-333.363573,499,6142.109832
-345.35311,499,6339.698462
-322.885126,499,6564.301341
-309.023765,499,6791.889523
-333.629339,499,7015.706823
-335.823338,499,7254.221386
-277.718957,499,7485.294788
-337.456016,499,7710.934968
-319.790945,499,7900.297612
-308.260975,499,8121.983881
-283.667443,499,8354.406738
-329.476812,499,8578.759414
-332.540727,499,8820.189384
-320.2155,499,9064.339006
-283.788384,499,9299.318752
-302.240206,499,9530.893256
-291.545601,499,9757.617213
-302.769107,499,10007.23481
-246.057342,499,10266.160766
-253.367102,499,10526.991499
-272.956255,499,10772.99908
-215.959014,499,11020.692928
-223.082319,499,11269.281414
-264.888176,499,11478.082192
-248.182094,499,11718.520511
-265.29392,499,11952.903897
-269.974712,499,12213.62526
-217.884534,499,12451.829005
-235.438892,499,12700.664342
-201.182862,499,12944.129509
-205.908979,499,13181.05073
-157.836975,499,13433.51645
-169.69571,499,13706.822539
-193.131966,499,13959.516467
-198.934471,499,14192.620156
-156.972581,499,14425.497516
-177.078111,499,14661.670899
-193.864934,499,14904.239953
-155.517294,499,15155.880636
-172.244983,499,15395.476887
-172.823524,499,15611.67767
-159.365183,499,15845.842487
-154.429785,499,16093.992152
-163.971542,499,16351.57211
-156.597502,499,16601.656013
-148.788174,499,16853.460324
-156.149791,499,17086.024275
-164.860194,499,17307.044901
-161.354849,499,17535.816742
-157.506173,499,17793.688837
-166.620352,499,18061.404564
-155.049298,499,18325.083008
-140.035834,499,18594.082021
-149.708746,499,18832.84693
-147.704818,499,19051.035719
-166.733806,499,19315.402276
-156.753905,499,19577.833897
-155.804562,499,19834.552814
-175.346497,499,20080.492736
-169.288181,499,20317.094738
-175.010567,499,20558.347256
-161.725884,499,20781.304783
-184.963471,499,21002.739901
-159.802279,499,21232.259019
-182.102528,499,21490.232844
-156.17104,499,21717.432437
-163.44236,499,21957.312746
-170.492291,499,22201.302965
-172.813783,499,22459.24162
-153.481885,499,22722.983421
-151.379969,499,22986.227292
-151.312642,499,23249.791068
-162.397272,499,23502.991244
-149.727321,499,23764.923808
-155.24365,499,23998.299935
-154.634069,499,24244.953131
-144.947224,499,24464.805943
-140.157211,499,24675.098946
-167.434472,499,24902.753734
-145.152088,499,25131.865545
-140.295938,499,25349.787432
-158.340899,499,25566.617899
-142.531573,499,25773.765965
-153.266824,499,25984.121008
-151.894667,499,26198.506128
-150.03225,499,26444.273207
-124.441803,499,26666.985295
-129.755794,499,26909.839436
-141.872346,499,27140.478752
-149.587009,499,27374.326762
-145.497185,499,27608.348975
-129.934859,499,27859.365063
-152.820242,499,28101.599585
-130.926794,499,28349.551002
-144.027981,499,28594.494207
-132.212764,499,28837.565513
-118.199955,499,29068.748616
-119.315871,499,29297.855661
-130.937209,499,29515.662308
-137.270907,499,29762.966895
-131.059061,499,30030.610856
-134.180505,499,30261.494238
-125.97679,499,30484.505924
-120.026559,499,30705.392896
-127.2601,499,30917.392814
-134.182317,499,31131.894219
-130.408654,499,31356.442745
-121.23452,499,31570.593722
-129.00097,499,31781.494595
-132.032023,499,31998.495989
-128.852032,499,32207.426704
-127.946214,499,32415.638963
-125.706191,499,32627.08661
-129.931681,499,32862.714476
-128.462222,499,33079.502195
-129.385356,499,33297.186134
-127.291941,499,33528.93622
-120.213388,499,33744.891523
-128.981691,499,33961.656907
-127.948898,499,34178.999269
-135.176907,499,34398.165998
-131.898671,499,34615.074666
-135.588607,499,34827.276131
-125.725172,499,35041.575971
-116.880994,499,35255.513469
-131.812725,499,35475.128278
-115.392669,499,35697.487546
-125.646205,499,35912.125222
-130.298289,499,36136.045055
-122.943736,499,36377.09806
-120.852394,499,36590.825243
-124.79362,499,36802.557723
-128.233464,499,37010.52365
-118.067763,499,37222.893365
-115.489601,499,37430.704055
-118.153004,499,37634.099043
-130.194448,499,37846.364887
-122.05053,499,38058.770077
-139.655895,499,38278.293875
-130.149835,499,38491.490624
-136.127237,499,38708.156115
-133.279098,499,38914.427803
-132.252237,499,39121.499381
-133.362972,499,39354.620992
-135.618192,499,39594.952116
-133.955954,499,39834.364239
-141.405817,499,40076.378815
-132.494226,499,40326.780822
-132.902356,499,40563.023231
-127.137765,499,40805.934349
-124.689133,499,41039.551399
-127.605573,499,41264.22827
-127.880219,499,41512.221085
-125.296189,499,41786.148602
-125.557482,499,42020.56768
-131.038329,499,42257.89086
-124.82169,499,42491.124775
-126.575507,499,42733.455177
-133.467373,499,42956.933927
-132.086713,499,43168.81945
-125.583621,499,43370.157375
-127.503983,499,43585.241005
-126.692838,499,43796.596737
-126.172475,499,43998.162269
-127.459599,499,44198.563909
-124.231494,499,44403.524917
-125.814082,499,44615.69799
-131.40269,499,44828.068096
-130.492079,499,45040.917872
-127.805582,499,45252.960093
-127.416282,499,45468.010014
-126.886557,499,45676.170634
-127.66375,499,45896.604746
-127.642831,499,46123.584062
-125.777471,499,46345.541592
-128.923335,499,46570.118033
-125.958067,499,46793.148529
-130.02895,499,47020.573503
-126.683799,499,47242.75872
-125.306432,499,47469.693164
-131.380184,499,47697.8264
-130.230649,499,47931.755894
-131.283029,499,48155.570877
-128.222661,499,48383.971618
-131.041428,499,48602.274826
-138.495354,499,48826.018531
-136.604938,499,49047.33408
-136.178174,499,49266.064509
-134.457793,499,49487.93165
-133.443635,499,49704.653309
-126.920442,499,49919.623447
-133.759459,499,50139.199435
-134.094858,499,50358.636188
-128.025682,499,50579.366435
-124.435249,499,50785.554784
-124.647652,499,50997.633525
-121.742101,499,51211.85649
-123.22272,499,51433.692081
-130.926971,499,51650.536843
-123.058432,499,51873.122141
-124.024052,499,52110.470777
-126.878697,499,52377.726882
-128.374075,499,52625.590008
-122.028121,499,52870.77395
-119.972295,499,53111.006466
-126.887151,499,53362.441664
-121.931798,499,53593.376599
-121.870521,499,53834.719123
-122.751,499,54090.139002
-121.725782,499,54341.888334
-121.255642,499,54634.082532
-118.931588,499,54864.989577
-124.719872,499,55122.091169
-119.342227,499,55368.908574
-117.268951,499,55605.940103
-120.235826,499,55842.213611
-127.658376,499,56081.01458
-121.206565,499,56335.627074
-122.056128,499,56585.455821
-118.231949,499,56825.104615
-120.314182,499,57065.095704
-119.0659,499,57319.793825
-119.259472,499,57564.212025
-119.783196,499,57799.843665
-114.928818,499,58035.562578
-117.10518,499,58263.1651
-118.708884,499,58486.708359
-117.968877,499,58700.454636
-117.947774,499,58907.667664
-117.151795,499,59114.436818
-116.400365,499,59318.818808
-122.46736,499,59525.870765
-117.20859,499,59733.148172
-117.641618,499,59944.008627
-113.60095,499,60160.692663
-127.468641,499,60376.085914
-115.191175,499,60649.15425
-116.653913,499,60921.683825
-117.1465,499,61178.999912
-126.051561,499,61433.126326
-113.706159,499,61673.58041
-120.832044,499,61908.123431
-113.745365,499,62160.050526
-115.332767,499,62399.152998
-126.81312,499,62653.665012
-122.469623,499,62921.576445
-125.126323,499,63177.645907
-125.176694,499,63414.095641
-114.868308,499,63671.640064
-119.207308,499,63928.495417
-119.682369,499,64154.717898
-127.463474,499,64428.744554
-122.963017,499,64705.673132
-125.423835,499,64954.60963
-114.37446,499,65224.565687
-120.223666,499,65478.116035
-115.432814,499,65739.358315
-118.510483,499,65974.378311
-123.454765,499,66194.031113
-115.662395,499,66412.059577
-111.568408,499,66631.625394
-111.487145,499,66853.423664
-119.767687,499,67069.265237
-119.793738,499,67285.237638
-114.429489,499,67507.215142
-115.725033,499,67725.258937
-116.189455,499,67943.701206
-119.67726,499,68161.937811
-112.222774,499,68375.772959
-121.367616,499,68589.612863
-115.76987,499,68800.634391
-118.070004,499,69015.422728
-113.53036,499,69227.684129
-113.417535,499,69452.099245
