#{"t_start": 1689090258.0440216, "env_id": "quantum_nonlinear_obser_Pn-v0"}
r,l,t
-1962.824518,499,19.017407
-1951.055221,499,38.083594
-1940.159487,499,56.868475
-1963.911603,499,76.001581
-1959.806889,499,94.610722
-1959.129891,499,313.408389
-1946.647957,499,333.480203
-1956.760045,499,352.450416
-1957.967209,499,370.541345
-1939.247158,499,389.48156
-1962.978594,499,589.855868
-1940.931688,499,608.382141
-1936.765022,499,627.036018
-1964.209885,499,645.04806
-1963.596393,499,663.362865
-1960.535517,499,865.752041
-1945.331725,499,884.794656
-1959.078489,499,903.223581
-1936.069647,499,922.447366
-1957.626101,499,941.175937
-1951.996157,499,1144.468895
-1936.159116,499,1163.650715
-1958.51434,499,1183.161762
-1963.181142,499,1202.116452
-1962.546735,499,1221.83647
-1955.782429,499,1432.387229
-1961.992408,499,1452.197132
-1959.528396,499,1472.223392
-1955.059124,499,1492.133348
-1953.804272,499,1512.0794
-1960.301274,499,1720.990914
-1932.945002,499,1740.718656
-1963.594397,499,1759.447044
-1962.074359,499,1778.612146
-1953.732152,499,1798.398966
-1944.548199,499,2004.326191
-1962.915386,499,2022.891133
-1954.974979,499,2042.314085
-1955.474594,499,2061.836757
-1965.010919,499,2080.70473
-1963.184455,499,2285.466255
-1955.062557,499,2304.88739
-1959.962755,499,2323.972558
-1961.342993,499,2343.64221
-1941.302338,499,2363.677679
-1963.134776,499,2567.281039
-1955.282599,499,2585.797894
-1945.065379,499,2604.756903
-1952.827306,499,2623.592539
-1961.550918,499,2642.750972
-1961.373182,499,2843.868449
-1958.875497,499,2863.018786
-1955.87708,499,2881.811004
-1963.605677,499,2900.701737
-1933.088225,499,2919.762826
-1961.600764,499,3121.913466
-1961.086529,499,3140.885235
-1964.601987,499,3159.732318
-1960.747354,499,3178.87599
-1958.388204,499,3198.066079
-1958.6882,499,3398.4326
-1916.205558,499,3417.975157
-1962.416418,499,3437.145905
-1959.411773,499,3456.078644
-1962.978514,499,3475.286829
-1928.748633,499,3676.306259
-1964.22607,499,3695.363187
-1956.169979,499,3714.678431
-1959.546708,499,3733.714448
-1964.849381,499,3752.121954
-1946.809161,499,3954.990983
-1956.205466,499,3974.165984
